row_label_raw,row_label_full,col_0,Thuyết minh,Mã số,31 tháng 12 năm 2025 VND,31 tháng 12 năm 2024 VND,numeric__Thuyết minh,numeric__Mã số,numeric__31 tháng 12 năm 2025 VND,numeric__31 tháng 12 năm 2024 VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn,TÀI SẢN > Tài sản ngắn hạn,Tài sản ngắn hạn,,100,6.421.039.397.054,11.376.342.676.917,,100.0,6421039397054.0,11376342676917.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5,110,298.639.326.799,5.778.789.095.834,5.0,110.0,298639326799.0,5778789095834.0
Tiền,TÀI SẢN > Tiền,Tiền,,111,298.639.326.799,109.213.753.369,,111.0,298639326799.0,109213753369.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,,112,-,5.669.575.342.465,,112.0,,5669575342465.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,6,120,1.857.786.007.100,1.857.801.615.950,6.0,120.0,1857786007100.0,1857801615950.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,6.1,121,1.862.358.461.369,1.862.358.461.369,61.0,121.0,1862358461369.0,1862358461369.0
Dự phòng giảm giá chứng khoán kinh doanh,TÀI SẢN > Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,6.1,122,(6.772.454.269),(6.756.845.419),61.0,122.0,-6772454269.0,-6756845419.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,6.2,123,2.200.000.000,2.200.000.000,62.0,123.0,2200000000.0,2200000000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,,130,2.306.065.068.508,1.815.701.471.856,,130.0,2306065068508.0,1815701471856.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,7,131,463.191.238.752,124.249.580.029,7.0,131.0,463191238752.0,124249580029.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,8,132,1.294.530.851.639,1.579.380.857.954,8.0,132.0,1294530851639.0,1579380857954.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,10,135,500.000.000,800.000.000,10.0,135.0,500000000.0,800000000.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,11,136,555.176.958.767,118.605.014.523,11.0,136.0,555176958767.0,118605014523.0
Dự phòng phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,9,137,(7.333.980.650),(7.333.980.650),9.0,137.0,-7333980650.0,-7333980650.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,12,140,1.873.847.232.762,1.794.128.201.791,12.0,140.0,1873847232762.0,1794128201791.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,,141,1.873.847.232.762,1.794.128.201.791,,141.0,1873847232762.0,1794128201791.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,,150,84.701.761.885,129.922.291.486,,150.0,84701761885.0,129922291486.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,13,151,59.670.707.239,59.255.922.454,13.0,151.0,59670707239.0,59255922454.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,,152,22.429.286.041,70.664.369.032,,152.0,22429286041.0,70664369032.0
Thuế và các khoản khác phải thu từ Nhà nước,TÀI SẢN > Thuế và các khoản khác phải thu từ Nhà nước,Thuế và các khoản khác phải thu từ Nhà nước,20,153,2.601.768.605,2.000.000,20.0,153.0,2601768605.0,2000000.0
