row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh 23) > Công ty Cổ phần Trump InternationalViệt Nam > Công ty Cổ phần Phát triểnĐồ thị Sài Gòn Tây Bắc,31 tháng 12 năm2025 VND > Vay ngắn hạn (Thuyết minh 23) > 64.800.000.000 > 89.500.000.000,Ngày đáo hạn > Vay ngắn hạn (Thuyết minh 23) > Đảo hạn lần cuối cùng vàongày 25 tháng 9 năm 2026 > Đảo hạn lần cuối cùng vàongày 1 tháng 2 năm 2026,Lãi suất/năm > Vay ngắn hạn (Thuyết minh 23) > 6% > 8%,Tài sảnđảm bảo > Vay ngắn hạn (Thuyết minh 23) > Tín chấp,numeric__31 tháng 12 năm2025 VND > Vay ngắn hạn (Thuyết minh 23) > 64.800.000.000 > 89.500.000.000,numeric__Ngày đáo hạn > Vay ngắn hạn (Thuyết minh 23) > Đảo hạn lần cuối cùng vàongày 25 tháng 9 năm 2026 > Đảo hạn lần cuối cùng vàongày 1 tháng 2 năm 2026,numeric__Lãi suất/năm > Vay ngắn hạn (Thuyết minh 23) > 6% > 8%,numeric__Tài sảnđảm bảo > Vay ngắn hạn (Thuyết minh 23) > Tín chấp
,,,154.300.000.000,,,,154300000000.0,,,
Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),,,,
Công ty Cổ phần Tập đoàn Đầu tư vàPhát triển Hưng Yên,Vay dài hạn (Thuyết minh 23) > Công ty Cổ phần Tập đoàn Đầu tư vàPhát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư vàPhát triển Hưng Yên,8.835.968.076,Đảo hạn lần cuối cùng vàongày 23 tháng 12 năm 2027,6%,Tín chấp,8835968076.0,,0.06,
Công ty TNHH MTV Kinh doanh văn phòngvà nhà xưởng Kinh Bắc,Vay dài hạn (Thuyết minh 23) > Công ty TNHH MTV Kinh doanh văn phòngvà nhà xưởng Kinh Bắc,Công ty TNHH MTV Kinh doanh văn phòngvà nhà xưởng Kinh Bắc,195.700.000.000,Đảo hạn lần cuối cùng vàongày 25 tháng 9 năm 2030,"7,4%",Tín chấp,195700000000.0,,0.07400000000000001,
Công ty Cổ phần Khu Công nghiệpSải Gòn - Hải Phòng,Vay dài hạn (Thuyết minh 23) > Công ty Cổ phần Khu Công nghiệpSải Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệpSải Gòn - Hải Phòng,308.200.000.000,Đảo hạn lần cuối cùng vàongày 31 tháng 12 năm 2028,11%,Tín chấp,308200000000.0,,0.11,
Công ty Cổ phần Khu Công nghiệpSải Gòn - Bắc Giang,Vay dài hạn (Thuyết minh 23) > Công ty Cổ phần Khu Công nghiệpSải Gòn - Bắc Giang,Công ty Cổ phần Khu Công nghiệpSải Gòn - Bắc Giang,684.594.894.894,Đảo hạn lần cuối cùng vàongày 31 tháng 12 năm 2028,"6,1 - 6,5%",Tín chấp,684594894894.0,,,
Công ty TNHH Một thành viênPhát triển Đồ thị Tràng Cát,Vay dài hạn (Thuyết minh 23) > Công ty TNHH Một thành viênPhát triển Đồ thị Tràng Cát,Công ty TNHH Một thành viênPhát triển Đồ thị Tràng Cát,2.653.862.007.840,Đảo hạn lần cuối cùng vàongày 19 tháng 12 năm 2029,7-11%,Tín chấp,2653862007840.0,,,
,,,3.851.192.870.810,,,,3851192870810.0,,,
