row_label_raw,row_label_full,Các bên có liên quan > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),Bản chất số dư > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),31 tháng 12 năm 2025VND > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),31 tháng 12 năm 2024VND > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),numeric__Bản chất số dư > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),numeric__31 tháng 12 năm 2025VND > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),numeric__31 tháng 12 năm 2024VND > Các khoản phải thu ngắn hạn khác (Thuyết minh 11)
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tạm ứng,3.489.211.820,3.489.211.820,,3489211820.0,3489211820.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Phải thu khác,996.502.285,927.330.000,,996502285.0,927330000.0
,,,,4.485.714.105,4.416.541.820,,4485714105.0,4416541820.0
Các khoản phải thu dài hạn khác (Thuyết minh 11),Các khoản phải thu dài hạn khác (Thuyết minh 11),Các khoản phải thu dài hạn khác (Thuyết minh 11),Các khoản phải thu dài hạn khác (Thuyết minh 11),Các khoản phải thu dài hạn khác (Thuyết minh 11),Các khoản phải thu dài hạn khác (Thuyết minh 11),,,
Công ty cổ phần Đầu tư Láng Hạ,Các khoản phải thu dài hạn khác (Thuyết minh 11) > Công ty cổ phần Đầu tư Láng Hạ,Công ty cổ phần Đầu tư Láng Hạ,Phải thu từ hợp tác đầu tư,417.607.864.125,-,,417607864125.0,
Chi phí phải trả ngắn hạn (Thuyết minh 21),Chi phí phải trả ngắn hạn (Thuyết minh 21),Chi phí phải trả ngắn hạn (Thuyết minh 21),Chi phí phải trả ngắn hạn (Thuyết minh 21),Chi phí phải trả ngắn hạn (Thuyết minh 21),Chi phí phải trả ngắn hạn (Thuyết minh 21),,,
Công ty Cổ phần Phát triển Đỏ thịSài Gòn Tây Bắc,Chi phí phải trả ngắn hạn (Thuyết minh 21) > Công ty Cổ phần Phát triển Đỏ thịSài Gòn Tây Bắc,Công ty Cổ phần Phát triển Đỏ thịSài Gòn Tây Bắc,Lãi vay,13.711.890.411,-,,13711890411.0,
Công ty TNHH Phát triển Cơ sởHạ tầng Công nghiệp Tân Tập,Chi phí phải trả ngắn hạn (Thuyết minh 21) > Công ty TNHH Phát triển Cơ sởHạ tầng Công nghiệp Tân Tập,Công ty TNHH Phát triển Cơ sởHạ tầng Công nghiệp Tân Tập,Lãi vay,16.121.095.891,13.704.657.534,,16121095891.0,13704657534.0
Công ty Cổ phần Đầu tư Phát triển Long An,Chi phí phải trả ngắn hạn (Thuyết minh 21) > Công ty Cổ phần Đầu tư Phát triển Long An,Công ty Cổ phần Đầu tư Phát triển Long An,Lãi vay,1.920.821.918,1.920.821.918,,1920821918.0,1920821918.0
Công ty Cổ phần Trump International Việt Nam,Chi phí phải trả ngắn hạn (Thuyết minh 21) > Công ty Cổ phần Trump International Việt Nam,Công ty Cổ phần Trump International Việt Nam,Lãi vay,1.043.901.370,-,,1043901370.0,
