row_label_raw,row_label_full,col_0,31 tháng 12 năm 2025VND,31 tháng 12 năm 2024VND,numeric__31 tháng 12 năm 2025VND,numeric__31 tháng 12 năm 2024VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu các bên thứ ba,Phải thu các bên thứ ba,Phải thu các bên thứ ba,Phải thu các bên thứ ba,Phải thu các bên thứ ba,,
Tạm ứng cho nhân viên (i),Phải thu các bên thứ ba > Tạm ứng cho nhân viên (i),Tạm ứng cho nhân viên (i),66.821.653.119,56.804.382.013,66821653119.0,56804382013.0
- Ông Phan Minh Toàn Thư,Phải thu các bên thứ ba > - Ông Phan Minh Toàn Thư,- Ông Phan Minh Toàn Thư,17.402.427.000,17.106.527.000,17402427000.0,17106527000.0
- Các đối tượng khác,Phải thu các bên thứ ba > - Các đối tượng khác,- Các đối tượng khác,49.419.226.119,39.697.855.013,49419226119.0,39697855013.0
"Phải thu tiền đặt cọc, ký quỹ UBND tính Bắc Ninh (ii)","Phải thu các bên thứ ba > Phải thu tiền đặt cọc, ký quỹ UBND tính Bắc Ninh (ii)","Phải thu tiền đặt cọc, ký quỹ UBND tính Bắc Ninh (ii)",19.440.000.000,19.440.000.000,19440000000.0,19440000000.0
"Phải thu tiền đặt cọc, ký quỹ (iii)","Phải thu các bên thứ ba > Phải thu tiền đặt cọc, ký quỹ (iii)","Phải thu tiền đặt cọc, ký quỹ (iii)",12.851.128.404,13.051.128.404,12851128404.0,13051128404.0
Phải thu tiền tạm ứng giải phóng mặt bằng (iv),Phải thu các bên thứ ba > Phải thu tiền tạm ứng giải phóng mặt bằng (iv),Phải thu tiền tạm ứng giải phóng mặt bằng (iv),442.333.974.555,-,442333974555.0,
Phải thu khác,Phải thu các bên thứ ba > Phải thu khác,Phải thu khác,9.244.488.584,24.892.962.286,9244488584.0,24892962286.0
Phải thu khác các bên liên quan (Thuyết minh 35),Phải thu các bên thứ ba > Phải thu khác các bên liên quan (Thuyết minh 35),Phải thu khác các bên liên quan (Thuyết minh 35),4.485.714.105,4.416.541.820,4485714105.0,4416541820.0
,,,555.176.958.767,118.605.014.523,555176958767.0,118605014523.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu theo hợp đồng hợp tác đầu tư với,Dài hạn > Phải thu theo hợp đồng hợp tác đầu tư với,Phải thu theo hợp đồng hợp tác đầu tư với,-,412.407.864.125,,412407864125.0
Công ty Cổ phần Đầu tư Láng Hạ (v),Công ty Cổ phần Đầu tư Láng Hạ (v),Công ty Cổ phần Đầu tư Láng Hạ (v),Công ty Cổ phần Đầu tư Láng Hạ (v),Công ty Cổ phần Đầu tư Láng Hạ (v),,
Phải thu khác,Công ty Cổ phần Đầu tư Láng Hạ (v) > Phải thu khác,Phải thu khác,845.758.400,16.032.532.427,845758400.0,16032532427.0
Phải thu khác các bên liên quan (Thuyết minh 35) (v),Công ty Cổ phần Đầu tư Láng Hạ (v) > Phải thu khác các bên liên quan (Thuyết minh 35) (v),Phải thu khác các bên liên quan (Thuyết minh 35) (v),417.607.864.125,-,417607864125.0,
,,,418.453.622.525,428.440.396.552,418453622525.0,428440396552.0
,,,973.630.581.292,547.045.411.075,973630581292.0,547045411075.0
