row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh 23) > Công ty TNHH Phát triển Cơ sởHạ tầng Công nghiệp Tân Tập,31 tháng 12 năm 2024VND > Vay ngắn hạn (Thuyết minh 23) > 60.000.000.000,Ngày đáo hạn > Vay ngắn hạn (Thuyết minh 23) > 29 tháng 11 năm 2025,Lãi suất/năm > Vay ngắn hạn (Thuyết minh 23) > 6%,Tài sảnđảm bảo > Vay ngắn hạn (Thuyết minh 23) > Tín chấp,numeric__31 tháng 12 năm 2024VND > Vay ngắn hạn (Thuyết minh 23) > 60.000.000.000,numeric__Ngày đáo hạn > Vay ngắn hạn (Thuyết minh 23) > 29 tháng 11 năm 2025,numeric__Lãi suất/năm > Vay ngắn hạn (Thuyết minh 23) > 6%,numeric__Tài sảnđảm bảo > Vay ngắn hạn (Thuyết minh 23) > Tín chấp
,,,60.000.000.000,,,,60000000000.0,,,
Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),Vay dài hạn (Thuyết minh 23),,,,
Công ty Cổ phần Khu Công nghiệpSải Gòn - Bắc Giang,Vay dài hạn (Thuyết minh 23) > Công ty Cổ phần Khu Công nghiệpSải Gòn - Bắc Giang,Công ty Cổ phần Khu Công nghiệpSải Gòn - Bắc Giang,4.115.472.636.364,Đảo hạn lần cuối cùng vàongày 31 tháng 10 năm 2027,3%,Tín chấp,4115472636364.0,,0.03,
Công ty Cổ phần Khu Công nghiệpSải Gòn - Hải Phòng,Vay dài hạn (Thuyết minh 23) > Công ty Cổ phần Khu Công nghiệpSải Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệpSải Gòn - Hải Phòng,1.346.154.812.985,Đảo hạn lần cuối cùng vàongày 25 tháng 10 năm 2026,"6,1%",Tín chấp,1346154812985.0,,0.061,
Công ty TNHH Một thành viênPhát triển Đô thị Tràng Cát,Vay dài hạn (Thuyết minh 23) > Công ty TNHH Một thành viênPhát triển Đô thị Tràng Cát,Công ty TNHH Một thành viênPhát triển Đô thị Tràng Cát,887.904.109.589,Đảo hạn lần cuối cùng vàongày 19 tháng 12 năm 2029,"5,5-11%",Tín chấp,887904109589.0,,,
Công ty Cổ phần Phát triểnĐô thị Sài Gòn Tây Bắc,Vay dài hạn (Thuyết minh 23) > Công ty Cổ phần Phát triểnĐô thị Sài Gòn Tây Bắc,Công ty Cổ phần Phát triểnĐô thị Sài Gòn Tây Bắc,89.500.000.000,Đảo hạn lần cuối cùng vàongày 1 tháng 2 năm 2026,8%,Tín chấp,89500000000.0,,0.08,
Công ty Cổ phần Đầu tư và Phát triểnHạ tầng Khu công nghệ cao Sài Gòn,Vay dài hạn (Thuyết minh 23) > Công ty Cổ phần Đầu tư và Phát triểnHạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triểnHạ tầng Khu công nghệ cao Sài Gòn,30.000.000.000,Đã thanh toán hết trong năm,,,30000000000.0,,,
,,,6.469.031.558.938,,,,6469031558938.0,,,
