row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc (bao gồm chí phí phát triển đất và cơ sở hạ tầng)VNĐ",Máy móc thiết bịVNĐ,Phương tiện vận tảiVNĐ,Thiết bị văn phòngVNĐ,KhácVNĐ,TổngVNĐ,"numeric__Nhà cửa, vật kiến trúc (bao gồm chí phí phát triển đất và cơ sở hạ tầng)VNĐ",numeric__Máy móc thiết bịVNĐ,numeric__Phương tiện vận tảiVNĐ,numeric__Thiết bị văn phòngVNĐ,numeric__KhácVNĐ,numeric__TổngVNĐ
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
1 tháng 1 năm 2025,Nguyên giá > 1 tháng 1 năm 2025,1 tháng 1 năm 2025,274.158.171.018,9.091.787.612,82.559.384.042,29.872.749.810,788.381.818,396.470.474.300,274158171018.0,9091787612.0,82559384042.0,29872749810.0,788381818.0,396470474300.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,3.999.695.274,648.333.334,-,4.648.028.608,,,3999695274.0,648333334.0,,4648028608.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(686.403.636),-,-,(686.403.636),,,-686403636.0,,,-686403636.0
Chuyển từ xây dựng cơ bản (Thuyết minh 17),Nguyên giá > Chuyển từ xây dựng cơ bản (Thuyết minh 17),Chuyển từ xây dựng cơ bản (Thuyết minh 17),530.816.043,-,-,-,-,530.816.043,530816043.0,,,,,530816043.0
31 tháng 12 năm 2025,Nguyên giá > 31 tháng 12 năm 2025,31 tháng 12 năm 2025,274.688.987.061,9.091.787.612,85.872.675.680,30.521.083.144,788.381.818,400.962.915.315,274688987061.0,9091787612.0,85872675680.0,30521083144.0,788381818.0,400962915315.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
1 tháng 1 năm 2025,Giá trị hao mòn lũy kế > 1 tháng 1 năm 2025,1 tháng 1 năm 2025,(171.882.994.726),(6.859.006.408),(40.971.827.126),(20.216.615.666),(788.381.818),(240.718.825.744),-171882994726.0,-6859006408.0,-40971827126.0,-20216615666.0,-788381818.0,-240718825744.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(14.622.174.907),(482.843.052),(7.005.896.892),(2.964.199.757),-,(25.075.114.608),-14622174907.0,-482843052.0,-7005896892.0,-2964199757.0,,-25075114608.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,686.403.636,-,-,686.403.636,,,686403636.0,,,686403636.0
31 tháng 12 năm 2025,Giá trị hao mòn lũy kế > 31 tháng 12 năm 2025,31 tháng 12 năm 2025,(186.505.169.633),(7.341.849.460),(47.291.320.382),(23.180.815.423),(788.381.818),(265.107.536.716),-186505169633.0,-7341849460.0,-47291320382.0,-23180815423.0,-788381818.0,-265107536716.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
1 tháng 1 năm 2025,Giá trị còn lại > 1 tháng 1 năm 2025,1 tháng 1 năm 2025,102.275.176.292,2.232.781.204,41.587.556.916,9.656.134.144,-,155.751.648.556,102275176292.0,2232781204.0,41587556916.0,9656134144.0,,155751648556.0
31 tháng 12 năm 2025,Giá trị còn lại > 31 tháng 12 năm 2025,31 tháng 12 năm 2025,88.183.817.428,1.749.938.152,38.581.355.298,7.340.267.721,-,135.855.378.599,88183817428.0,1749938152.0,38581355298.0,7340267721.0,,135855378599.0
