row_label_raw,row_label_full,col_0,31 tháng 12 năm 2025 > Tỷ lệ biểu quyết %,31 tháng 12 năm 2025 > Số lượng cổ phiếu,31 tháng 12 năm 2025 > Giá trị ghi số VND,31 tháng 12 năm 2025 > Giá trị hợp lý VND,31 tháng 12 năm 2025 > Tỷ lệ biểu quyết %_1,31 tháng 12 năm 2025 > Số lượng cổ phiếu_1,31 tháng 12 năm 2024 > Giá trị ghi số VND,31 tháng 12 năm 2024 > Giá trị hợp lý VND,numeric__31 tháng 12 năm 2025 > Tỷ lệ biểu quyết %,numeric__31 tháng 12 năm 2025 > Số lượng cổ phiếu,numeric__31 tháng 12 năm 2025 > Giá trị ghi số VND,numeric__31 tháng 12 năm 2025 > Giá trị hợp lý VND,numeric__31 tháng 12 năm 2025 > Tỷ lệ biểu quyết %_1,numeric__31 tháng 12 năm 2025 > Số lượng cổ phiếu_1,numeric__31 tháng 12 năm 2024 > Giá trị ghi số VND,numeric__31 tháng 12 năm 2024 > Giá trị hợp lý VND
Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,"100,00",-,12.681.000.000.000,(*),"100,00",-,12.681.000.000.000,(*),100.0,,12681000000000.0,,100.0,,12681000000000.0,
Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,"89,26",15.840.000,1.656.000.000.000,(*),"89,26",15.840.000,1.656.000.000.000,(*),89.26,15840000.0,1656000000000.0,,89.26,15840000.0,1656000000000.0,
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (i),Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (i),Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (i),"98,69",414.800.000,4.148.000.000.000,(*),"95,00",153.000.000,1.530.000.000.000,(*),98.69,414800000.0,4148000000000.0,,95.0,153000000.0,1530000000000.0,
Công ty Cổ phần Đầu tư Phát triển Long An,Công ty Cổ phần Đầu tư Phát triển Long An,Công ty Cổ phần Đầu tư Phát triển Long An,"60,00",54.000.000,540.000.000.000,(*),"60,00",54.000.000,540.000.000.000,(*),60.0,54000000.0,540000000000.0,,60.0,54000000.0,540000000000.0,
Công ty Cổ phần Phát triển Đô thị Sài Gòn Tây Bắc,Công ty Cổ phần Phát triển Đô thị Sài Gòn Tây Bắc,Công ty Cổ phần Phát triển Đô thị Sài Gòn Tây Bắc,"74,30",71.473.114,662.066.314.000,(*),"74,30",71.473.114,662.066.314.000,(*),74.3,71473114.0,662066314000.0,,74.3,71473114.0,662066314000.0,
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang (ii),Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang (ii),Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang (ii),"100,00",20.230.000,119.000.000.000,(*),"92,50",20.230.000,119.000.000.000,(*),100.0,20230000.0,119000000000.0,,92.5,20230000.0,119000000000.0,
Công ty TNHH MTV Đầu tư NGD,Công ty TNHH MTV Đầu tư NGD,Công ty TNHH MTV Đầu tư NGD,"100,00",-,105.200.000.000,(*),"100,00",-,105.200.000.000,(*),100.0,,105200000000.0,,100.0,,105200000000.0,
Công ty Cổ phần Phát triển Đô thị Tiên Dương,Công ty Cổ phần Phát triển Đô thị Tiên Dương,Công ty Cổ phần Phát triển Đô thị Tiên Dương,"51,00",25.500.000,7.411.980.000,(*),"51,00",25.500.000,7.411.980.000,(*),51.0,25500000.0,7411980000.0,,51.0,25500000.0,7411980000.0,
Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc (iii),Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc (iii),Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc (iii),"100,00",-,7.100.000.000.000,(*),"100,00",-,5.440.000.000,(*),100.0,,7100000000000.0,,100.0,,5440000000.0,
Công ty Cổ phần Phát triển Đô thị Kinh Bắc - Đồng Tháp (iv),Công ty Cổ phần Phát triển Đô thị Kinh Bắc - Đồng Tháp (iv),Công ty Cổ phần Phát triển Đô thị Kinh Bắc - Đồng Tháp (iv),"90,00",135.000.000,10.000.000.000,(*),-,-,-,(*),90.0,135000000.0,10000000000.0,,,,,
Công ty TNHH Đầu tư và xây dựng 3H Việt Nam (v),Công ty TNHH Đầu tư và xây dựng 3H Việt Nam (v),Công ty TNHH Đầu tư và xây dựng 3H Việt Nam (v),"100,00",-,1.075.000.000.000,(*),-,-,-,(*),100.0,,1075000000000.0,,,,,
Công ty TNHH Logistics A&E (vi),Công ty TNHH Logistics A&E (vi),Công ty TNHH Logistics A&E (vi),"100,00",-,1.108.000.000.000,(*),-,-,-,(*),100.0,,1108000000000.0,,,,,
,,,,,29.211.678.294.000,,,,17.306.118.294.000,,,,29211678294000.0,,,,17306118294000.0,
