row_label_raw,row_label_full,col_0,Thuyết minh,Mã số,Năm kết thúc ngày31 tháng 12 năm 2025VND,Năm kết thúc ngày31 tháng 12 năm 2024VND,numeric__Thuyết minh,numeric__Mã số,numeric__Năm kết thúc ngày31 tháng 12 năm 2025VND,numeric__Năm kết thúc ngày31 tháng 12 năm 2024VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,26,01,1.469.242.643.438,884.851.896.857,26.0,1.0,1469242643438.0,884851896857.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,02,-,-,,2.0,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,10,1.469.242.643.438,884.851.896.857,,10.0,1469242643438.0,884851896857.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,"27, 32",11,(400.443.222.692),(310.673.106.930),,11.0,-400443222692.0,-310673106930.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,20,1.068.799.420.746,574.178.789.927,,20.0,1068799420746.0,574178789927.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,28,21,454.101.857.761,179.885.104.480,28.0,21.0,454101857761.0,179885104480.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,29,22,(1.013.449.711.716),(377.315.428.523),29.0,22.0,-1013449711716.0,-377315428523.0
- Trong đó: chi phí lãi vay,- Trong đó: chi phí lãi vay,- Trong đó: chi phí lãi vay,,23,(918.946.081.619),(579.478.081.548),,23.0,-918946081619.0,-579478081548.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,"30, 32",25,(76.308.819.129),(16.247.830.248),,25.0,-76308819129.0,-16247830248.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,"31, 32",26,(255.966.854.642),(222.929.392.888),,26.0,-255966854642.0,-222929392888.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,30,177.175.893.020,137.571.242.748,,30.0,177175893020.0,137571242748.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,31,719.690.901,245.245.716,,31.0,719690901.0,245245716.0
Chi phí khác,Chi phí khác,Chi phí khác,,32,(69.562.894),(107.058.008.732),,32.0,-69562894.0,-107058008732.0
Lợi nhuận/(Lỗ) khác,Lợi nhuận/(Lỗ) khác,Lợi nhuận/(Lỗ) khác,,40,650.128.007,(106.812.763.016),,40.0,650128007.0,-106812763016.0
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,,50,177.826.021.027,30.758.479.732,,50.0,177826021027.0,30758479732.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,34,51,(143.470.053.966),(17.194.820.801),34.0,51.0,-143470053966.0,-17194820801.0
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,34,52,832.241.000,832.241.000,34.0,52.0,832241000.0,832241000.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,60,35.188.208.061,14.395.899.931,,60.0,35188208061.0,14395899931.0
