row_label_raw,row_label_full,col_0,Thuyết minh,Mã số,Năm kết thúc ngày31 tháng 12 năm 2025VND,Năm kết thúc ngày31 tháng 12 năm 2024VND,numeric__Thuyết minh,numeric__Mã số,numeric__Năm kết thúc ngày31 tháng 12 năm 2025VND,numeric__Năm kết thúc ngày31 tháng 12 năm 2024VND
Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,,,,
Lợi nhuận trước thuế,Lưu chuyển tiền tử hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,01,177.826.021.027,30.758.479.732,,1.0,177826021027.0,30758479732.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,,
Khấu hao tài sản có định và bất động sản đầu tư,Điều chỉnh cho các khoản: > Khấu hao tài sản có định và bất động sản đầu tư,Khấu hao tài sản có định và bất động sản đầu tư,,02,41.511.856.134,41.911.400.420,,2.0,41511856134.0,41911400420.0
Thay đổi các khoản dự phòng,Điều chỉnh cho các khoản: > Thay đổi các khoản dự phòng,Thay đổi các khoản dự phòng,,03,27.945.995.328,(212.924.426.093),,3.0,27945995328.0,-212924426093.0
Lãi tử hoạt động đầu tư,Điều chỉnh cho các khoản: > Lãi tử hoạt động đầu tư,Lãi tử hoạt động đầu tư,,05,(453.973.437.413),(179.584.729.021),,5.0,-453973437413.0,-179584729021.0
"Chi phí lãi vay, chi phí phát hành trái phiếu","Điều chỉnh cho các khoản: > Chi phí lãi vay, chi phí phát hành trái phiếu","Chi phí lãi vay, chi phí phát hành trái phiếu",,06,938.696.081.619,586.280.859.326,,6.0,938696081619.0,586280859326.0
Lợi nhuận tử hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản: > Lợi nhuận tử hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận tử hoạt động kinh doanh trước thay đổi vốn lưu động,,08,732.006.516.695,266.441.584.364,,8.0,732006516695.0,266441584364.0
Thay đổi các khoản phải thu,Điều chỉnh cho các khoản: > Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,,09,(449.256.284.205),5.337.679.573.372,,9.0,-449256284205.0,5337679573372.0
Thay đổi hàng tồn kho,Điều chỉnh cho các khoản: > Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,,10,(79.719.030.971),(25.637.543.879),,10.0,-79719030971.0,-25637543879.0
Thay đổi các khoản phải trả,Điều chỉnh cho các khoản: > Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,,11,(4.013.848.040.062),5.591.258.638.411,,11.0,-4013848040062.0,5591258638411.0
Thay đổi chi phí trả trước,Điều chỉnh cho các khoản: > Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,,12,(28.167.207.841),(7.770.325.157),,12.0,-28167207841.0,-7770325157.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,,14,(964.536.550.242),(1.314.505.426.812),,14.0,-964536550242.0,-1314505426812.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,,15,(13.400.000.000),(187.871.643.060),,15.0,-13400000000.0,-187871643060.0
Lưu chuyển tiền thuần tử hoạt động kinh doanh,Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần tử hoạt động kinh doanh,Lưu chuyển tiền thuần tử hoạt động kinh doanh,,20,(4.816.920.596.626),9.659.594.857.239,,20.0,-4816920596626.0,9659594857239.0
Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,,,,
"Tiền chi để mua sắm, xây dựng TSCĐ","Lưu chuyển tiền tử hoạt động đầu tư > Tiền chi để mua sắm, xây dựng TSCĐ","Tiền chi để mua sắm, xây dựng TSCĐ",,21,(21.032.232.380),(33.046.652.528),,21.0,-21032232380.0,-33046652528.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ","Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu từ thanh lý, nhượng bán TSCĐ","Tiền thu từ thanh lý, nhượng bán TSCĐ",,22,545.000.000,-,,22.0,545000000.0,
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Lưu chuyển tiền tử hoạt động đầu tư > Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,23,(6.000.000.000),(5.760.573.195.121),,23.0,-6000000000.0,-5760573195121.0
"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,24,6.300.000.000,5.760.573.195.121,,24.0,6300000000.0,5760573195121.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Lưu chuyển tiền tử hoạt động đầu tư > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,,25,(11.905.560.000.000),(5.628.209.000.000),,25.0,-11905560000000.0,-5628209000000.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,26,358.300.000.000,339.000.000.000,,26.0,358300000000.0,339000000000.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Lưu chuyển tiền tử hoạt động đầu tư > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,27,134.273.913.379,173.067.744.843,,27.0,134273913379.0,173067744843.0
Lưu chuyển tiền thuần tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư > Lưu chuyển tiền thuần tử hoạt động đầu tư,Lưu chuyển tiền thuần tử hoạt động đầu tư,,30,(11.433.173.319.001),(5.149.187.907.685),,30.0,-11433173319001.0,-5149187907685.0
