row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Kết chuyển sang TSCĐ hữu hình (Thuyết minh 15),Năm kết thúc ngày31 tháng 12 năm 2025VND > 340.715.282.283 > 463.805.193.867 > (530.816.043),Năm kết thúc ngày31 tháng 12 năm 2024VND > 160.498.719.196 > 330.338.120.588 > (143.661.482),numeric__Năm kết thúc ngày31 tháng 12 năm 2025VND > 340.715.282.283 > 463.805.193.867 > (530.816.043),numeric__Năm kết thúc ngày31 tháng 12 năm 2024VND > 160.498.719.196 > 330.338.120.588 > (143.661.482)
Kết chuyển sang Hàng tồn kho,Kết chuyển sang Hàng tồn kho,Kết chuyển sang Hàng tồn kho,(447.797.605.278),(142.999.514.724),-447797605278.0,-142999514724.0
Xóa số các dự án không tiếp tục triển khai,Xóa số các dự án không tiếp tục triển khai,Xóa số các dự án không tiếp tục triển khai,-,(6.978.381.295),,-6978381295.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,356.192.054.829,340.715.282.283,356192054829.0,340715282283.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hệ thống cấp nước và xử lý nước thải thuộc Khu côngnghiệp Nam Sơn - Hạp Lĩnh (i),Trong đó: > Hệ thống cấp nước và xử lý nước thải thuộc Khu côngnghiệp Nam Sơn - Hạp Lĩnh (i),Hệ thống cấp nước và xử lý nước thải thuộc Khu côngnghiệp Nam Sơn - Hạp Lĩnh (i),187.214.561.882,166.218.656.815,187214561882.0,166218656815.0
Khu Ngoại giao đoàn Hà Nội (ii),Trong đó: > Khu Ngoại giao đoàn Hà Nội (ii),Khu Ngoại giao đoàn Hà Nội (ii),145.085.068.087,141.766.924.174,145085068087.0,141766924174.0
Dự án khác,Trong đó: > Dự án khác,Dự án khác,23.892.424.860,32.729.701.294,23892424860.0,32729701294.0
,,,356.192.054.829,340.715.282.283,356192054829.0,340715282283.0
