row_label_raw,row_label_full,col_0,31 tháng 12năm 2025Giá trịVND,Trong năm > Phải nộpVND,Trong năm > Đã nộpVND,31 tháng 12năm 2024Giá trịVND,numeric__31 tháng 12năm 2025Giá trịVND,numeric__Trong năm > Phải nộpVND,numeric__Trong năm > Đã nộpVND,numeric__31 tháng 12năm 2024Giá trịVND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,143.126.746.098,143.470.053.966,(13.400.000.000),13.056.692.132,143126746098.0,143470053966.0,-13400000000.0,13056692132.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,894.258.503,12.203.823.680,(11.930.390.112),620.824.935,894258503.0,12203823680.0,-11930390112.0,620824935.0
Tiền thuê đất hàng năm,Phải nộp > Tiền thuê đất hàng năm,Tiền thuê đất hàng năm,-,28.645.207.421,(28.645.207.421),-,,28645207421.0,-28645207421.0,
Thuế khác,Phải nộp > Thuế khác,Thuế khác,158.935.618,3.836.344.118,(3.752.764.556),75.356.056,158935618.0,3836344118.0,-3752764556.0,75356056.0
,,,144.179.940.219,188.155.429.185,(57.728.362.089),13.752.873.123,144179940219.0,188155429185.0,-57728362089.0,13752873123.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Tiền thuê đất hàng năm,Phải thu > Tiền thuê đất hàng năm,Tiền thuê đất hàng năm,2.590.829.600,2.590.829.600,-,-,2590829600.0,2590829600.0,,
Thuế khác,Phải thu > Thuế khác,Thuế khác,10.939.005,9.939.005,(1.000.000),2.000.000,10939005.0,9939005.0,-1000000.0,2000000.0
,,,2.601.768.605,2.600.768.605,(1.000.000),2.000.000,2601768605.0,2600768605.0,-1000000.0,2000000.0
