row_label_raw,row_label_full,col_0,Nhà xuǒng (bao gồm chi phí phát triển đất và cơ sở hạ tầng) VND,numeric__Nhà xuǒng (bao gồm chi phí phát triển đất và cơ sở hạ tầng) VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
1 tháng 1 năm 2025,Nguyên giá > 1 tháng 1 năm 2025,1 tháng 1 năm 2025,172.985.045.000,172985045000.0
31 tháng 12 năm 2025,Nguyên giá > 31 tháng 12 năm 2025,31 tháng 12 năm 2025,172.985.045.000,172985045000.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
1 tháng 1 năm 2025,Giá trị hao mòn lũy kế > 1 tháng 1 năm 2025,1 tháng 1 năm 2025,(83.714.801.356),-83714801356.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(16.436.741.526),-16436741526.0
31 tháng 12 năm 2025,Giá trị hao mòn lũy kế > 31 tháng 12 năm 2025,31 tháng 12 năm 2025,(100.151.542.882),-100151542882.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
1 tháng 1 năm 2025,Giá trị còn lại > 1 tháng 1 năm 2025,1 tháng 1 năm 2025,89.270.243.644,89270243644.0
31 tháng 12 năm 2025,Giá trị còn lại > 31 tháng 12 năm 2025,31 tháng 12 năm 2025,72.833.502.118,72833502118.0
