row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.400.000.000.000,-,(5.025.000.000),4.000.000.000,223.528.471.970,1.622.503.471.970,1400000000000.0,,-5025000000.0,4000000000.0,223528471970.0,1622503471970.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,231.033.049.379,231.033.049.379,,,,,231033049379.0,231033049379.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,28.500.000.000,(212.000.000.000),(183.500.000.000),,,,28500000000.0,-212000000000.0,-183500000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.400.000.000.000,-,(5.025.000.000),32.500.000.000,242.561.521.349,1.670.036.521.349,1400000000000.0,,-5025000000.0,32500000000.0,242561521349.0,1670036521349.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.400.000.000.000,-,(5.025.000.000),32.500.000.000,242.561.521.349,1.670.036.521.349,1400000000000.0,,-5025000000.0,32500000000.0,242561521349.0,1670036521349.0
Tăng vốn trong năm (*),Tăng vốn trong năm (*),Tăng vốn trong năm (*),150.000.000.000,66.378.000.000,-,-,-,216.378.000.000,150000000000.0,66378000000.0,,,,216378000000.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,-,249.651.441.276,249.651.441.276,,,,,249651441276.0,249651441276.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,29.500.000.000,(213.055.000.000),(183.555.000.000),,,,29500000000.0,-213055000000.0,-183555000000.0
Số dư cuối năm này,Số dư cuối năm này,Số dư cuối năm này,1.550.000.000.000,66.378.000.000,(5.025.000.000),62.000.000.000,279.157.962.625,1.952.510.962.625,1550000000000.0,66378000000.0,-5025000000.0,62000000000.0,279157962625.0,1952510962625.0
