row_label_raw,row_label_full,Số liệu theo Báo cáo tài chính cho năm tài chính kết thúc ngày 31/12/2014 > Mã số,Số liệu theo Báo cáo tài chính cho năm tài chính kết thúc ngày 31/12/2014 > Tên khoản mục,Số liệu theo Báo cáo tài chính cho năm tài chính kết thúc ngày 31/12/2014 > Số tiền,Số liệu điều chỉnh theo Thông tư 200/2014/TT-BTC > Mã số,Số liệu điều chỉnh theo Thông tư 200/2014/TT-BTC > Tên khoản mục,Số liệu điều chỉnh theo Thông tư 200/2014/TT-BTC > Số tiền,Thay đổi,numeric__Số liệu theo Báo cáo tài chính cho năm tài chính kết thúc ngày 31/12/2014 > Tên khoản mục,numeric__Số liệu theo Báo cáo tài chính cho năm tài chính kết thúc ngày 31/12/2014 > Số tiền,numeric__Số liệu điều chỉnh theo Thông tư 200/2014/TT-BTC > Mã số,numeric__Số liệu điều chỉnh theo Thông tư 200/2014/TT-BTC > Tên khoản mục,numeric__Số liệu điều chỉnh theo Thông tư 200/2014/TT-BTC > Số tiền,numeric__Thay đổi
BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,,,,,,,
121,BẢNG CÂN ĐỐI KẾ TOÁN > 121,121,1. Đầu tư ngắn hạn,281.282.221.062,,,,(281.282.221.062),,281282221062.0,,,,-281282221062.0
,,,,,123,3. Đầu tư nắm giữ đến ngày đáo hạn,147.661.751.062,147.661.751.062,,,123.0,,147661751062.0,147661751062.0
,,,,,135,5. Phải thu về cho vay ngắn hạn,133.620.470.000,133.620.470.000,,,135.0,,133620470000.0,133620470000.0
131,BẢNG CÂN ĐỐI KẾ TOÁN > 131,131,1. Phải thu khách hàng,266.910.356.785,131,1. Phải thu ngắn hạn của khách hàng,266.910.356.785,-,,266910356785.0,131.0,,266910356785.0,
132,BẢNG CÂN ĐỐI KẾ TOÁN > 132,132,2. Trà trước cho người bán,13.033.548.054,132,2. Trà trước cho người bán ngắn hạn,13.033.548.054,-,,13033548054.0,132.0,,13033548054.0,
135,BẢNG CÂN ĐỐI KẾ TOÁN > 135,135,5. Các khoản phải thu khác,2.616.877.509,136,6. Phải thu ngắn hạn khác,5.043.127.630,2.426.250.121,,2616877509.0,136.0,,5043127630.0,2426250121.0
,,,,,139,8. Tài sản thiếu chờ xử lý,16.084.280,16.084.280,,,139.0,,16084280.0,16084280.0
158,BẢNG CÂN ĐỐI KẾ TOÁN > 158,158,5. Tài sản ngắn hạn khác,2.442.334.401,155,5. Tài sản ngắn hạn khác,-,(2.442.334.401),,2442334401.0,155.0,,,-2442334401.0
139,BẢNG CÂN ĐỐI KẾ TOÁN > 139,139,6. Dự phòng phải thu ngắn hạn khó đòi,(7.250.060.800),137,7. Dự phòng phải thu ngắn hạn khó đòi,(7.250.060.800),-,,-7250060800.0,137.0,,-7250060800.0,
154,BẢNG CÂN ĐỐI KẾ TOÁN > 154,154,3. Thuế và các khoản khác phải thu Nhà nước,9.632.950,153,3. Thuế và các khoản khác phải thu Nhà nước,9.632.950,-,,9632950.0,153.0,,9632950.0,
218,BẢNG CÂN ĐỐI KẾ TOÁN > 218,218,4. Phải thu dài hạn khác,-,216,6. Phải thu dài hạn khác,66.048.000,66.048.000,,,216.0,,66048000.0,66048000.0
268,BẢNG CÂN ĐỐI KẾ TOÁN > 268,268,3. Tài sản dài hạn khác,66.048.000,268,4. Tài sản dài hạn khác,-,(66.048.000),,66048000.0,268.0,,,-66048000.0
230,BẢNG CÂN ĐỐI KẾ TOÁN > 230,230,4. Chi phí xây dựng cơ bản dở dang,301.443.683.009,,,,(301.443.683.009),,301443683009.0,,,,-301443683009.0
,,,,,242,2. Chi phí xây dựng cơ bản dở dang,301.443.683.009,301.443.683.009,,,242.0,,301443683009.0,301443683009.0
