row_label_raw,row_label_full,col_0,Hoạt động sản xuất,Hoạt động thương mại,Hoạt động cung cấp dịch vụ,Tổng cộng các bộ phận,Loại trừ,Tổng cộng toàn doanh nghiệp,numeric__Hoạt động sản xuất,numeric__Hoạt động thương mại,numeric__Hoạt động cung cấp dịch vụ,numeric__Tổng cộng các bộ phận,numeric__Loại trừ,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,702.452.685.135,601.123.822.240,46.499.564.026,1.350.076.071.401,-,1.350.076.071.401,702452685135.0,601123822240.0,46499564026.0,1350076071401.0,,1350076071401.0
Chi phí bộ phận trực tiếp,Chi phí bộ phận trực tiếp,Chi phí bộ phận trực tiếp,507.147.637.089,602.330.231.691,29.879.426.539,1.139.357.295.319,-,1.139.357.295.319,507147637089.0,602330231691.0,29879426539.0,1139357295319.0,,1139357295319.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,195.305.048.046,(1.206.409.451),16.620.137.487,210.718.776.082,-,210.718.776.082,195305048046.0,-1206409451.0,16620137487.0,210718776082.0,,210718776082.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,48.491.689.477,41.496.758.917,3.209.956.296,93.198.404.690,-,93.198.404.690,48491689477.0,41496758917.0,3209956296.0,93198404690.0,,93198404690.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,545.217.987.932,466.570.244.225,36.091.254.649,1.047.879.486.806,-,1.047.879.486.806,545217987932.0,466570244225.0,36091254649.0,1047879486806.0,,1047879486806.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,1.304.591.538.410,-,1.304.591.538.410,,,,1304591538410.0,,1304591538410.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,545.217.987.932,466.570.244.225,36.091.254.649,2.352.471.025.216,-,2.352.471.025.216,545217987932.0,466570244225.0,36091254649.0,2352471025216.0,,2352471025216.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,196.034.054.939,167.756.124.915,12.976.671.998,376.766.851.852,-,376.766.851.852,196034054939.0,167756124915.0,12976671998.0,376766851852.0,,376766851852.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,20.656.974.630,-,20.656.974.630,,,,20656974630.0,,20656974630.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,196.034.054.939,167.756.124.915,12.976.671.998,397.423.826.482,-,397.423.826.482,196034054939.0,167756124915.0,12976671998.0,397423826482.0,,397423826482.0
