row_label_raw,row_label_full,col_0,Tỷ lệ,Số tiền,numeric__Tỷ lệ,numeric__Số tiền
,,,%,VND,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,"100,00%",231.033.049.379,1.0,231033049379.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,"12,77%",29.500.000.000,0.1277,29500000000.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","6,49%",15.000.000.000,0.0649,15000000000.0
Chi trả cổ tức (bằng 12% vốn điều lệ),Chi trả cổ tức (bằng 12% vốn điều lệ),Chi trả cổ tức (bằng 12% vốn điều lệ),"72,46%",167.400.000.000,0.7245999999999999,167400000000.0
Trích Quỹ thưởng Ban điều hành,Trích Quỹ thưởng Ban điều hành,Trích Quỹ thưởng Ban điều hành,"0,50%",1.155.000.000,0.005,1155000000.0
Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,"7,78%",17.978.049.379,0.07780000000000001,17978049379.0
