row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụ quản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,191.329.812.564,122.591.377.205,9.434.918.586,1.798.206.409,325.154.314.764,191329812564.0,122591377205.0,9434918586.0,1798206409.0,325154314764.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,38.336.319.258,8.908.480.000,-,47.244.799.258,,38336319258.0,8908480000.0,,47244799258.0
- Đầu tư xây dựng cơ bản hoàn thành (*),Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành (*),- Đầu tư xây dựng cơ bản hoàn thành (*),229.468.916.333,10.231.003.923,-,82.811.532.777,322.511.453.033,229468916333.0,10231003923.0,,82811532777.0,322511453033.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,420.798.728.897,171.158.700.386,18.343.398.586,84.609.739.186,694.910.567.055,420798728897.0,171158700386.0,18343398586.0,84609739186.0,694910567055.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,105.369.999.296,78.692.265.424,7.459.773.771,1.569.948.535,193.091.987.026,105369999296.0,78692265424.0,7459773771.0,1569948535.0,193091987026.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,13.732.764.405,11.809.896.231,1.306.011.755,5.447.240.365,32.295.912.756,13732764405.0,11809896231.0,1306011755.0,5447240365.0,32295912756.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,119.102.763.701,90.502.161.655,8.765.785.526,7.017.188.900,225.387.899.782,119102763701.0,90502161655.0,8765785526.0,7017188900.0,225387899782.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,85.959.813.268,43.899.111.781,1.975.144.815,228.257.874,132.062.327.738,85959813268.0,43899111781.0,1975144815.0,228257874.0,132062327738.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,301.695.965.196,80.656.538.731,9.577.613.060,77.592.550.286,469.522.667.273,301695965196.0,80656538731.0,9577613060.0,77592550286.0,469522667273.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
