row_label_raw,row_label_full,Tổng Công ty có các đơn vị trực thuộc sau:,Địa chỉ,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Hoạt động kinh doanh chính
Khách sạn Bình Minh - Hà Nội,Khách sạn Bình Minh - Hà Nội,Khách sạn Bình Minh - Hà Nội,Hà Nội,Kinh doanh khách sạn,,
Cơ sở sản xuất tại KCN Đại Đồng - Hoàn Sơn - Tiên Du - Bắc Ninh,Cơ sở sản xuất tại KCN Đại Đồng - Hoàn Sơn - Tiên Du - Bắc Ninh,Cơ sở sản xuất tại KCN Đại Đồng - Hoàn Sơn - Tiên Du - Bắc Ninh,Hà Nội,Sản xuất kinh doanh thiết bị điện,,
