row_label_raw,row_label_full,col_0,Mối quan hệ,31/12/2015,01/01/2015,numeric__Mối quan hệ,numeric__31/12/2015,numeric__01/01/2015
,,,Mối quan hệ,VND,VND,,,
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,,5.045.706.096,1.349.765.563,,5045706096.0,1349765563.0
Công ty CP Dây cấp điện Việt Nam,Công ty CP Dây cấp điện Việt Nam,Công ty CP Dây cấp điện Việt Nam,Công ty con,2.850.000.000,-,,2850000000.0,
Công ty CP Sản xuất và Thương mại EMIC,Công ty CP Sản xuất và Thương mại EMIC,Công ty CP Sản xuất và Thương mại EMIC,Công ty con,278.333.333,175.500.000,,278333333.0,175500000.0
Công ty CP Chế tạo Máy điện Việt Nam - Hungari,Công ty CP Chế tạo Máy điện Việt Nam - Hungari,Công ty CP Chế tạo Máy điện Việt Nam - Hungari,Công ty liên kết,1.917.372.763,1.174.265.563,,1917372763.0,1174265563.0
Ứng trước tiền hàng,Ứng trước tiền hàng,Ứng trước tiền hàng,,5.813.037.664,5.788.198.376,,5813037664.0,5788198376.0
Công ty CP Sản xuất và Thương mại EMIC,Công ty CP Sản xuất và Thương mại EMIC,Công ty CP Sản xuất và Thương mại EMIC,Công ty liên kết,5.735.060.102,5.788.198.376,,5735060102.0,5788198376.0
Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty Cổ phần Vật tư và Xây dựng Hà Nội,Công ty liên kết,77.977.562,-,,77977562.0,
Phải thu khác,Phải thu khác,Phải thu khác,,11.081.987.000,130.586.149,,11081987000.0,130586149.0
Công ty CP Sản xuất và Thương mại EMIC,Công ty CP Sản xuất và Thương mại EMIC,Công ty CP Sản xuất và Thương mại EMIC,Công ty liên kết,-,129.586.149,,,129586149.0
Công ty CP Chế tạo Máy điện Việt Nam - Hungari,Công ty CP Chế tạo Máy điện Việt Nam - Hungari,Công ty CP Chế tạo Máy điện Việt Nam - Hungari,Công ty liên kết,1.000.000,1.000.000,,1000000.0,1000000.0
Công ty CP Khí cụ điện 1,Công ty CP Khí cụ điện 1,Công ty CP Khí cụ điện 1,Công ty con,6.123.660.000,-,,6123660000.0,
Công ty GELEX Cambodia (tên cũ Công ty CP Thiết bị Điện Việt Nam Cambodia),Công ty GELEX Cambodia (tên cũ Công ty CP Thiết bị Điện Việt Nam Cambodia),Công ty GELEX Cambodia (tên cũ Công ty CP Thiết bị Điện Việt Nam Cambodia),Công ty con,4.957.327.000,-,,4957327000.0,
Phải trả khác,Phải trả khác,Phải trả khác,,16.699.815.109,-,,16699815109.0,
Công ty CP Sản xuất và Thương mại EMIC,Công ty CP Sản xuất và Thương mại EMIC,Công ty CP Sản xuất và Thương mại EMIC,Công ty liên kết,16.699.815.109,-,,16699815109.0,
