row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,VND Báo cáo kết quả hoạt động kinh doanh hợp nhất,VND Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__VND Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__VND Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Các khoản chi phí phải trả,Tài sản thuế TNDN hoãn lại > Các khoản chi phí phải trả,Các khoản chi phí phải trả,63.210.600.900,59.733.000.000,3.477.600.900,12.114.905.074,63210600900.0,59733000000.0,3477600900.0,12114905074.0
Dự phòng giảm giá hàng tồn kho,Tài sản thuế TNDN hoãn lại > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,75.026.468.954,51.958.562.189,23.067.906.765,23.373.398.179,75026468954.0,51958562189.0,23067906765.0,23373398179.0
Dự phòng chi phí bảo hành,Tài sản thuế TNDN hoãn lại > Dự phòng chi phí bảo hành,Dự phòng chi phí bảo hành,11.313.726.546,9.164.907.946,2.148.818.600,1.820.410.340,11313726546.0,9164907946.0,2148818600.0,1820410340.0
Chênh lệch tỷ giá chưa thực hiện,Tài sản thuế TNDN hoãn lại > Chênh lệch tỷ giá chưa thực hiện,Chênh lệch tỷ giá chưa thực hiện,(2.068.735),14.003.473,(16.072.208),19.978.563,-2068735.0,14003473.0,-16072208.0,19978563.0
TỔNG CỘNG,Tài sản thuế TNDN hoãn lại > TỔNG CỘNG,TỔNG CỘNG,149.548.727.665,120.870.473.608,,,149548727665.0,120870473608.0,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,
Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Chi phí thuế TNDN hoãn lại > Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,(1.896.011.499),-,(851.024.396),-,-1896011499.0,,-851024396.0,
Thu nhập thuế TNDN hoãn lãi,Chi phí thuế TNDN hoãn lại > Thu nhập thuế TNDN hoãn lãi,Thu nhập thuế TNDN hoãn lãi,,,27.827.229.661,37.328.692.156,,,27827229661.0,37328692156.0
