row_label_raw,row_label_full,Chỉ tiêu,VNDGiá trị hợp lý ghi nhận tại ngày mua,numeric__VNDGiá trị hợp lý ghi nhận tại ngày mua
Tài sản,Tài sản,Tài sản,,
Tiền,Tài sản > Tiền,Tiền,55.270.830.566,55270830566.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,64.091.855.378,64091855378.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,838.237.987.364,838237987364.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,63.062.287.272,63062287272.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,54.099.652.231,54099652231.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,110.412.301.088,110412301088.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,43.432.795.149,43432795149.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,
Các khoản phải trả,Nợ phải trả > Các khoản phải trả,Các khoản phải trả,887.144.337.341,887144337341.0
Vay,Nợ phải trả > Vay,Vay,118.386.375.724,118386375724.0
Chi phí thuế TNDN hoãn lại,Nợ phải trả > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,1.044.987.103,1044987103.0
Tổng tài sản thuần theo giá trị hợp lý,Nợ phải trả > Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,222.032.008.880,222032008880.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(10.770.974.911),-10770974911.0
Lợi thế thương mại (Thuyết minh số 18),Nợ phải trả > Lợi thế thương mại (Thuyết minh số 18),Lợi thế thương mại (Thuyết minh số 18),613.918.721.185,613918721185.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,825.179.755.154,825179755154.0
