row_label_raw,row_label_full,col_0,VND Số tiền,numeric__VND Số tiền
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Tăng do mua công ty con (Thuyết minh số 4),Số đầu năm > Tăng do mua công ty con (Thuyết minh số 4),Tăng do mua công ty con (Thuyết minh số 4),613.918.721.185,613918721185.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,613.918.721.185,613918721185.0
Giá trị phân bổ lũy kế:,Giá trị phân bổ lũy kế:,Giá trị phân bổ lũy kế:,Giá trị phân bổ lũy kế:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Phân bổ trong năm,Số đầu năm > Phân bổ trong năm,Phân bổ trong năm,(61.391.872.119),-61391872119.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,(61.391.872.119),-61391872119.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,552.526.849.066,552526849066.0
