row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,25.998.878.500,6.780.588.644,32.779.467.144,25998878500.0,6780588644.0,32779467144.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,1.058.956.000,1.058.956.000,,1058956000.0,1058956000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,25.998.878.500,7.839.544.644,33.838.423.144,25998878500.0,7839544644.0,33838423144.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(4.969.805.508),(4.969.805.508),,-4969805508.0,-4969805508.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(644.487.504),(644.487.504),,-644487504.0,-644487504.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(5.614.293.012),(5.614.293.012),,-5614293012.0,-5614293012.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,25.998.878.500,1.810.783.136,27.809.661.636,25998878500.0,1810783136.0,27809661636.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,25.998.878.500,2.225.251.632,28.224.130.132,25998878500.0,2225251632.0,28224130132.0
