row_label_raw,row_label_full,col_0,VNDCông ty Cổ phầnBán lẻ An Khang,numeric__VNDCông ty Cổ phầnBán lẻ An Khang
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Tăng trong năm,Số đầu năm > Tăng trong năm,Tăng trong năm,62.038.750.000,62038750000.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,62.038.750.000,62038750000.0
Phần lũy kế lỗ sau khi mua công ty liên kết:,Phần lũy kế lỗ sau khi mua công ty liên kết:,Phần lũy kế lỗ sau khi mua công ty liên kết:,Phần lũy kế lỗ sau khi mua công ty liên kết:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Phần lỗ từ công ty liên kết,Số đầu năm > Phần lỗ từ công ty liên kết,Phần lỗ từ công ty liên kết,(2.100.986.885),-2100986885.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,(2.100.986.885),-2100986885.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,59.937.763.115,59937763115.0
