row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,4.120.952.100.029,83.601.276.900,628.146.529.449,4.832.699.906.378,4120952100029.0,83601276900.0,628146529449.0,4832699906378.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,669.501.215.998,49.925.244.538,145.390.938.834,864.817.399.370,669501215998.0,49925244538.0,145390938834.0,864817399370.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,77.810.643.621,24.102.038.444,86.623.205.710,188.535.887.775,77810643621.0,24102038444.0,86623205710.0,188535887775.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,56.017.785.332,-,-,56.017.785.332,56017785332.0,,,56017785332.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(151.194.300.403),-,(2.550.346.776),(153.744.647.179),-151194300403.0,,-2550346776.0,-153744647179.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.773.087.444.577,157.628.559.882,857.610.327.217,5.788.326.331.676,4773087444577.0,157628559882.0,857610327217.0,5788326331676.0
Trong đó:- Đã khấu hao hết,Nguyên giá: > Trong đó:- Đã khấu hao hết,Trong đó:- Đã khấu hao hết,232.985.606.287,10.161.763.435,156.831.666.330,399.979.036.052,232985606287.0,10161763435.0,156831666330.0,399979036052.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(1.147.718.234.451),(32.882.838.350),(216.250.500.278),(1.396.851.573.079),-1147718234451.0,-32882838350.0,-216250500278.0,-1396851573079.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(957.455.729.174),(19.979.194.934),(183.397.399.986),(1.160.832.324.094),-957455729174.0,-19979194934.0,-183397399986.0,-1160832324094.0
Tăng do mua công ty con,Giá trị khấu hao lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,(30.048.781.285),(10.151.788.215),(37.923.017.187),(78.123.586.687),-30048781285.0,-10151788215.0,-37923017187.0,-78123586687.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,149.473.302.533,-,2.931.379.121,152.404.681.654,149473302533.0,,2931379121.0,152404681654.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(1.985.749.442.377),(63.013.821.499),(434.639.538.330),(2.483.402.802.206),-1985749442377.0,-63013821499.0,-434639538330.0,-2483402802206.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.973.233.865.578,50.718.438.550,411.896.029.171,3.435.848.333.299,2973233865578.0,50718438550.0,411896029171.0,3435848333299.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.787.338.002.200,94.614.738.383,422.970.788.887,3.304.923.529.470,2787338002200.0,94614738383.0,422970788887.0,3304923529470.0
