row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá,Lợi nhuận sau thuế chưa phân phối,Vốn khác,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Vốn khác,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,1.539.509.270.000,36.717.698.286,(79.164.500),-,2.261.763.398.339,1.130.494.084,3.839.041.696.209,1539509270000.0,36717698286.0,-79164500.0,,2261763398339.0,1130494084.0,3839041696209.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,2.205.679.630.420(230.721.660.300),-,2.205.679.630.420(230.721.660.300),,,,,,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,2.205.679.630.420(230.721.660.300),-,2.205.679.630.420(230.721.660.300),,,,,,,
Phát hành cổ phiếu thường,Chia cổ tức > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,1.538.148.620.000,-,-,-,(1.538.148.620.000),-,-,1538148620000.0,,,,-1538148620000.0,,
Phát hành cổ phiếu ESOP,Chia cổ tức > Phát hành cổ phiếu ESOP,Phát hành cổ phiếu ESOP,92.226.480.000,-,-,-,-,-,92.226.480.000(86.063.365),92226480000.0,,,,,,
Chênh lệch tỷ giá,Chia cổ tức > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,(86.063.365),-,-,92.226.480.000(86.063.365),,,,-86063365.0,,,
Số cuối năm,Chia cổ tức > Số cuối năm,Số cuối năm,3.169.884.370.000,36.717.698.286,(79.164.500),(86.063.365),2.698.572.748.459,1.130.494.084,5.906.140.082.964,3169884370000.0,36717698286.0,-79164500.0,-86063365.0,2698572748459.0,1130494084.0,5906140082964.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,3.169.884.370.000,36.717.698.286,(79.164.500),(86.063.365),2.698.572.748.459,1.130.494.084,5.906.140.082.964,3169884370000.0,36717698286.0,-79164500.0,-86063365.0,2698572748459.0,1130494084.0,5906140082964.0
Lợi nhuận sau thuế,Năm nay: > Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,2.878.724.130.907,-,2.878.724.130.907,,,,,2878724130907.0,,2878724130907.0
Phát hành cổ phiếu (*),Năm nay: > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),61.810.840.000,514.734.297.200,-,-,-,-,576.545.137.200(729.700.000),61810840000.0,514734297200.0,,,,,
Mua lại cổ phiếu quỹ,Năm nay: > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(729.700.000),-,-,-,576.545.137.200(729.700.000),,,-729700000.0,,,,
Giao dịch vốn trong nội bộ Nhóm Công ty với cổ đông không kiểm soát,Giao dịch vốn trong nội bộ Nhóm Công ty với cổ đông không kiểm soát,Giao dịch vốn trong nội bộ Nhóm Công ty với cổ đông không kiểm soát,-,-,-,-,(27.410.937.561)(484.310.571.750),-,(27.410.937.561)(484.310.571.750),,,,,,,
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,(27.410.937.561)(484.310.571.750),-,(27.410.937.561)(484.310.571.750),,,,,,,
Cổ tức bằng cổ phiếu (**),Cổ tức công bố > Cổ tức bằng cổ phiếu (**),Cổ tức bằng cổ phiếu (**),1.075.971.460.000,-,-,-,(1.075.971.460.000),-,-,1075971460000.0,,,,-1075971460000.0,,
Phát hành cổ phiếu ESOP (***),Cổ tức công bố > Phát hành cổ phiếu ESOP (***),Phát hành cổ phiếu ESOP (***),127.295.110.000,-,-,-,-,-,127.295.110.000532.636.263,127295110000.0,,,,,,1.2729511000053264e+20
Chênh lệch tỷ giá,Cổ tức công bố > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,532.636.263,-,-,127.295.110.000532.636.263,,,,532636263.0,,,1.2729511000053264e+20
Số cuối năm,Cổ tức công bố > Số cuối năm,Số cuối năm,4.434.961.780.000,551.451.995.486,(808.864.500),446.572.898,3.989.603.910.055,1.130.494.084,8.976.785.888.023,4434961780000.0,551451995486.0,-808864500.0,446572898.0,3989603910055.0,1130494084.0,8976785888023.0
