row_label_raw,row_label_full,Công ty Cổ phần,Bên liên quan,Mua hàng hóa,-,61.052.093.599,numeric__Bên liên quan,numeric__Mua hàng hóa,numeric__-,numeric__61.052.093.599
Thế giới số,Thế giới số,Thế giới số,,,,,,,,
Trần Anh,Trần Anh,Trần Anh,,,,,,,,
