row_label_raw,row_label_full,col_0,Dự phòng bảo dưỡng Gas Turbine,"Dự phòng sửa chữa, bảo dưỡng tổng thể cho Nhà máy Đạm Phú Mỹ",Tổng,numeric__Dự phòng bảo dưỡng Gas Turbine,"numeric__Dự phòng sửa chữa, bảo dưỡng tổng thể cho Nhà máy Đạm Phú Mỹ",numeric__Tổng
,,,VND,VND,VND,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,253.973.730.976,253.973.730.976,,253973730976.0,253973730976.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,11.171.428.571,135.544.081.766,146.715.510.337,11171428571.0,135544081766.0,146715510337.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,-,(98.094.605.200),(98.094.605.200),,-98094605200.0,-98094605200.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,11.171.428.571,291.423.207.542,302.594.636.113,11171428571.0,291423207542.0,302594636113.0
