row_label_raw,row_label_full,Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,Số cuối nămVND > 86.866.453,Số đầu nămVND > 213.657.439,numeric__Số cuối nămVND > 86.866.453,numeric__Số đầu nămVND > 213.657.439
Công ty Cổ Phần Dịch vụ Tổng hợp Dầu Khí Vũng Tàu,Công ty Cổ Phần Dịch vụ Tổng hợp Dầu Khí Vũng Tàu,Công ty Cổ Phần Dịch vụ Tổng hợp Dầu Khí Vũng Tàu,-,1.984.499.845,,1984499845.0
Tổng Công ty Bảo dưỡng – Sửa chữa Công trình Dầu khí - CTCP,Tổng Công ty Bảo dưỡng – Sửa chữa Công trình Dầu khí - CTCP,Tổng Công ty Bảo dưỡng – Sửa chữa Công trình Dầu khí - CTCP,-,976.800.000,,976800000.0
Công ty TNHH Dịch vụ Kỹ thuật Công nghiệp PVChem,Công ty TNHH Dịch vụ Kỹ thuật Công nghiệp PVChem,Công ty TNHH Dịch vụ Kỹ thuật Công nghiệp PVChem,-,715.481.184,,715481184.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,533.729.322.916,384.885.919.646,533729322916.0,384885919646.0
Công ty Cổ phần Hoá dâu và Xơ sợi Việt Nam,Công ty Cổ phần Hoá dâu và Xơ sợi Việt Nam,Công ty Cổ phần Hoá dâu và Xơ sợi Việt Nam,411.049.861.185,272.789.241.398,411049861185.0,272789241398.0
Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Việt Nam,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Việt Nam,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Việt Nam,109.943.267.289,109.993.267.289,109943267289.0,109993267289.0
Công ty Bảo hiểm PVI Thành phố Hồ Chí Minh,Công ty Bảo hiểm PVI Thành phố Hồ Chí Minh,Công ty Bảo hiểm PVI Thành phố Hồ Chí Minh,10.565.728.688,-,10565728688.0,
Ngân hàng TMCP Đại chúng Việt Nam,Ngân hàng TMCP Đại chúng Việt Nam,Ngân hàng TMCP Đại chúng Việt Nam,2.170.465.754,2.103.410.959,2170465754.0,2103410959.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,460.071.616.272,519.675.248.748,460071616272.0,519675248748.0
Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,319.268.615.857,465.343.001.586,319268615857.0,465343001586.0
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,124.667.289.350,48.043.928.899,124667289350.0,48043928899.0
Tổng Công ty Hóa chất và Dịch vụ Dầu Khí - CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu Khí - CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu Khí - CTCP,5.304.686.547,-,5304686547.0,
Công ty TNHH Dung dịch Khoan và Dịch vụ Dầu Khí,Công ty TNHH Dung dịch Khoan và Dịch vụ Dầu Khí,Công ty TNHH Dung dịch Khoan và Dịch vụ Dầu Khí,3.669.127.621,-,3669127621.0,
Công ty Cổ phần PVI,Công ty Cổ phần PVI,Công ty Cổ phần PVI,1.761.492.698,322.343.082,1761492698.0,322343082.0
Công ty Cổ phần Cáng Dịch vụ Dầu khí Tổng hợp Phú Mỹ,Công ty Cổ phần Cáng Dịch vụ Dầu khí Tổng hợp Phú Mỹ,Công ty Cổ phần Cáng Dịch vụ Dầu khí Tổng hợp Phú Mỹ,1.672.524.848,3.427.348.215,1672524848.0,3427348215.0
Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Vũng Tàu,Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Vũng Tàu,Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí Vũng Tàu,1.403.402.998,-,1403402998.0,
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,1.102.407.933,1.006.506.517,1102407933.0,1006506517.0
Công ty Cổ phần Xăng dâu Dầu khí Hà Nội,Công ty Cổ phần Xăng dâu Dầu khí Hà Nội,Công ty Cổ phần Xăng dâu Dầu khí Hà Nội,1.004.400.000,-,1004400000.0,
Tổng Công ty Cổ phần Vận tải Dầu khí (PVTrans),Tổng Công ty Cổ phần Vận tải Dầu khí (PVTrans),Tổng Công ty Cổ phần Vận tải Dầu khí (PVTrans),112.154.580,-,112154580.0,
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,105.513.840,-,105513840.0,
