row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),4.599.179.502.370,-,2.838.340.934.833,174.796.246.903,11.545.199.773.844,3914000000000.0,21179913858.0,-2296824120.0,4599179502370.0,,2838340934833.0,174796246903.0,11545199773844.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,537.763.664.155,16.502.877.343,554.266.541.498,,,,,,537763664155.0,16502877343.0,554266541498.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(123.067.031.308),(3.369.343.765),(126.436.375.073),,,,,,-123067031308.0,-3369343765.0,-126436375073.0
Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,-,-,-,-,-,(782.668.520.000),(10.525.000.000),(793.193.520.000),,,,,,-782668520000.0,-10525000000.0,-793193520000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),4.599.179.502.370,-,2.470.369.047.680,177.404.780.481,11.179.836.420.269,3914000000000.0,21179913858.0,-2296824120.0,4599179502370.0,,2470369047680.0,177404780481.0,11179836420269.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,1.073.241.128.259,21.765.390.220,1.095.006.518.479,,,,,,1073241128259.0,21765390220.0,1095006518479.0
Tăng vốn tử quỹ đầu tư phát triển (i),Tăng vốn tử quỹ đầu tư phát triển (i),Tăng vốn tử quỹ đầu tư phát triển (i),2.885.907.610.000,-,-,(2.885.907.610.000),-,-,-,-,2885907610000.0,,,-2885907610000.0,,,,
Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),-,-,-,155.283.063.214,-,(155.283.063.214),-,-,,,,155283063214.0,,-155283063214.0,,
"Trích Quỹ khen thưởng, phúc lợi (iii)","Trích Quỹ khen thưởng, phúc lợi (iii)","Trích Quỹ khen thưởng, phúc lợi (iii)",-,-,-,-,-,(136.414.400.484),(5.290.302.274),(141.704.702.758),,,,,,-136414400484.0,-5290302274.0,-141704702758.0
Trả cổ tức bằng tiền mặt (iv),Trả cổ tức bằng tiền mặt (iv),Trả cổ tức bằng tiền mặt (iv),-,-,-,-,-,(587.001.390.000),(13.600.000.000),(600.601.390.000),,,,,,-587001390000.0,-13600000000.0,-600601390000.0
Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,-,-,-,-,8.825.139.848,(8.825.139.848),-,-,,,,,8825139848.0,-8825139848.0,,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,6.799.907.610.000,21.179.913.858,(2.296.824.120),1.868.554.955.584,8.825.139.848,2.656.086.182.393,180.279.868.427,11.532.536.845.990,6799907610000.0,21179913858.0,-2296824120.0,1868554955584.0,8825139848.0,2656086182393.0,180279868427.0,11532536845990.0
