row_label_raw,row_label_full,STT > 1 > 2,Tên đơn vị trực thuộc > Nhà máy Đạm Phú Mỹ > Chi nhánh Kinh doanh Hóa chất Dầu Khí,"Địa chỉ > Khu công nghiệp Phú Mỹ 1, Phường Phú Mỹ, Thành phố Hồ Chí Minh, Việt Nam > 43 Mạc Đĩnh Chi, Phường Sài Gòn, Thành phố Hồ Chí Minh, Việt Nam",numeric__Tên đơn vị trực thuộc > Nhà máy Đạm Phú Mỹ > Chi nhánh Kinh doanh Hóa chất Dầu Khí,"numeric__Địa chỉ > Khu công nghiệp Phú Mỹ 1, Phường Phú Mỹ, Thành phố Hồ Chí Minh, Việt Nam > 43 Mạc Đĩnh Chi, Phường Sài Gòn, Thành phố Hồ Chí Minh, Việt Nam"
3,3,3,Chi nhánh Tổng Công ty tại Campuchia (i),"Thủ đô Phnom Penh, Campuchia",,
4,4,4,Chi nhánh Quản lý và Phát triển Dự án,"Khu công nghiệp Phú Mỹ 1, Phường Phú Mỹ, Thành phố Hồ Chí Minh, Việt Nam",,
5,5,5,Chi nhánh Tổng Công ty - Trung tâm Nghiên cứu và Ủng dụng,"Khu công nghiệp Phú Mỹ 1, Phường Phú Mỹ, Thành phố Hồ Chí Minh, Việt Nam",,
