row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định hữu hình khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định hữu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.393.016.514.798,8.223.570.552.256,102.623.986.520,282.150.825.928,631.631.062.091,11.632.992.941.593,2393016514798.0,8223570552256.0,102623986520.0,282150825928.0,631631062091.0,11632992941593.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,15.016.830.287,24.825.299.198,16.849.842.805,37.713.437.516,2.023.498.248,96.428.908.054,15016830287.0,24825299198.0,16849842805.0,37713437516.0,2023498248.0,96428908054.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.177.336.803),(15.712.968.224),(8.707.441.693),(3.979.282.368),-,(32.577.029.088),-4177336803.0,-15712968224.0,-8707441693.0,-3979282368.0,,-32577029088.0
Điều chính theo quyết toán (i),NGUYÊN GIÁ > Điều chính theo quyết toán (i),Điều chính theo quyết toán (i),426.310.763.920,(190.723.557.102),-,(385.278.148),(284.978.512.064),(49.776.583.394),426310763920.0,-190723557102.0,,-385278148.0,-284978512064.0,-49776583394.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.830.166.772.202,8.041.959.326.128,110.766.387.632,315.499.702.928,348.676.048.275,11.647.068.237.165,2830166772202.0,8041959326128.0,110766387632.0,315499702928.0,348676048275.0,11647068237165.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.804.836.104.679,7.153.053.076.417,78.537.618.691,240.724.746.207,503.727.897.046,9.780.879.443.040,1804836104679.0,7153053076417.0,78537618691.0,240724746207.0,503727897046.0,9780879443040.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,97.012.613.654,224.165.571.248,6.652.416.369,25.071.493.199,14.631.404.194,367.533.498.664,97012613654.0,224165571248.0,6652416369.0,25071493199.0,14631404194.0,367533498664.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.302.895.204),(15.712.968.224),(8.707.441.693),(3.979.282.368),-,(31.702.587.489),-3302895204.0,-15712968224.0,-8707441693.0,-3979282368.0,,-31702587489.0
Điều chính theo quyết toán (i),GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chính theo quyết toán (i),Điều chính theo quyết toán (i),161.216.371.086,-,-,(385.278.148),(199.094.838.218),(38.263.745.280),161216371086.0,,,-385278148.0,-199094838218.0,-38263745280.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.059.762.194.215,7.361.505.679.441,76.482.593.367,261.431.678.890,319.264.463.022,10.078.446.608.935,2059762194215.0,7361505679441.0,76482593367.0,261431678890.0,319264463022.0,10078446608935.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,588.180.410.119,1.070.517.475.839,24.086.367.829,41.426.079.721,127.903.165.045,1.852.113.498.553,588180410119.0,1070517475839.0,24086367829.0,41426079721.0,127903165045.0,1852113498553.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,770.404.577.987,680.453.646.687,34.283.794.265,54.068.024.038,29.411.585.253,1.568.621.628.230,770404577987.0,680453646687.0,34283794265.0,54068024038.0,29411585253.0,1568621628230.0
