row_label_raw,row_label_full,Ông Nguyễn Xuân Hòa,Chủ tịch,numeric__Chủ tịch
Ông Phan Công Thành,Ông Phan Công Thành,Ông Phan Công Thành,Thành viên,
Ông Nguyễn Ngọc Anh,Ông Nguyễn Ngọc Anh,Ông Nguyễn Ngọc Anh,Thành viên,
Ông Hồ Quyết Thắng,Ông Hồ Quyết Thắng,Ông Hồ Quyết Thắng,Thành viên độc lập,
Bà Võ Thị Thanh Ngọc,Bà Võ Thị Thanh Ngọc,Bà Võ Thị Thanh Ngọc,Thành viên (bố nhiệm ngày 30 tháng 5 năm 2025),
Ông Trịnh Văn Kihim,Ông Trịnh Văn Kihim,Ông Trịnh Văn Kihim,Thành viên (miễn nhiệm ngày 30 tháng 5 năm 2025),
