row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu nămVND > 2.125.241.299,Số phải nộp/bùtrừ trong nămVND > 48.315.613.061,Số đã thực nộptrong nămVND > 44.041.292.366,Số cuối nămVND > 6.399.561.994,numeric__Số đầu nămVND > 2.125.241.299,numeric__Số phải nộp/bùtrừ trong nămVND > 48.315.613.061,numeric__Số đã thực nộptrong nămVND > 44.041.292.366,numeric__Số cuối nămVND > 6.399.561.994
- Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,2.125.241.299,24.276.036.341,20.001.715.646,6.399.561.994,2125241299.0,24276036341.0,20001715646.0,6399561994.0
- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,24.039.576.720,24.039.576.720,-,,24039576720.0,24039576720.0,
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,101.921.384.943,101.921.384.943,-,,101921384943.0,101921384943.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,49.427.861.955,301.011.416.609,283.116.187.481,67.323.091.083,49427861955.0,301011416609.0,283116187481.0,67323091083.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.352.278.614,128.574.261.596,115.574.251.299,19.352.288.911,6352278614.0,128574261596.0,115574251299.0,19352288911.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,334.077.840,3.760.168.800,3.866.284.440,227.962.200,334077840.0,3760168800.0,3866284440.0,227962200.0
Thuế báo vệ môi trường và các loại thuế khác,Thuế báo vệ môi trường và các loại thuế khác,Thuế báo vệ môi trường và các loại thuế khác,14.750.000,4.465.801.550,4.429.881.325,50.670.225,14750000.0,4465801550.0,4429881325.0,50670225.0
- Thuế báo vệ môi trường,- Thuế báo vệ môi trường,- Thuế báo vệ môi trường,14.750.000,100.910.100,67.110.500,48.549.600,14750000.0,100910100.0,67110500.0,48549600.0
- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,-,4.188.943.046,4.188.943.046,-,,4188943046.0,4188943046.0,
- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,-,175.948.404,173.827.779,2.120.625,,175948404.0,173827779.0,2120625.0
,,,58.254.209.708,588.048.646.559,552.949.281.854,93.353.574.413,58254209708.0,588048646559.0,552949281854.0,93353574413.0
