row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Dự án Nhà máy ép đầu (*),Dự án Nhà máy ép đầu (*),Dự án Nhà máy ép đầu (*),515.651.260.543,317.781.216.479,515651260543.0,317781216479.0
Nhà máy phân bón hữu cơ Việt Nhật,Nhà máy phân bón hữu cơ Việt Nhật,Nhà máy phân bón hữu cơ Việt Nhật,204.745.188.696,160.118.705.812,204745188696.0,160118705812.0
Dự án khu chăn nuôi gà giống Bình Phước (*),Dự án khu chăn nuôi gà giống Bình Phước (*),Dự án khu chăn nuôi gà giống Bình Phước (*),151.485.494.018,5.355.531.920,151485494018.0,5355531920.0
Dự án nhà máy thức ăn chăn nuôi Bình Phước (*),Dự án nhà máy thức ăn chăn nuôi Bình Phước (*),Dự án nhà máy thức ăn chăn nuôi Bình Phước (*),65.608.515.363,-,65608515363.0,
Dự án cảng Dabaco - giai đoạn 2,Dự án cảng Dabaco - giai đoạn 2,Dự án cảng Dabaco - giai đoạn 2,54.139.666.762,11.291.546.693,54139666762.0,11291546693.0
Dự án trung tâm gia sức gia cầm Tuyên Quang (*),Dự án trung tâm gia sức gia cầm Tuyên Quang (*),Dự án trung tâm gia sức gia cầm Tuyên Quang (*),51.425.186.581,38.428.206.937,51425186581.0,38428206937.0
Dự án nhà máy Nutreco Hà Tĩnh (*),Dự án nhà máy Nutreco Hà Tĩnh (*),Dự án nhà máy Nutreco Hà Tĩnh (*),42.116.105.125,28.169.853.481,42116105125.0,28169853481.0
Dự án kho nguyên liệu Hạp Lĩnh (*),Dự án kho nguyên liệu Hạp Lĩnh (*),Dự án kho nguyên liệu Hạp Lĩnh (*),34.230.307.100,30.311.790.100,34230307100.0,30311790100.0
Dự án trung tâm thương mại Đại Phúc,Dự án trung tâm thương mại Đại Phúc,Dự án trung tâm thương mại Đại Phúc,13.846.034.545,11.228.520.909,13846034545.0,11228520909.0
Dự án nhà hàng Đền Đỗ,Dự án nhà hàng Đền Đỗ,Dự án nhà hàng Đền Đỗ,13.500.701.547,20.277.867.273,13500701547.0,20277867273.0
Dự án siêu thị Thuận Thành,Dự án siêu thị Thuận Thành,Dự án siêu thị Thuận Thành,11.838.078.202,8.838.078.202,11838078202.0,8838078202.0
Dự án trung tâm thương mại Yên Phong,Dự án trung tâm thương mại Yên Phong,Dự án trung tâm thương mại Yên Phong,11.699.823.486,7.554.068.732,11699823486.0,7554068732.0
Dự án mở rộng văn phòng Công ty,Dự án mở rộng văn phòng Công ty,Dự án mở rộng văn phòng Công ty,9.065.276.809,8.879.614.609,9065276809.0,8879614609.0
"Dự án trung tâm sản xuất giống Cẩm Xuyên, Hà Tĩnh","Dự án trung tâm sản xuất giống Cẩm Xuyên, Hà Tĩnh","Dự án trung tâm sản xuất giống Cẩm Xuyên, Hà Tĩnh",8.200.000.000,8.200.000.000,8200000000.0,8200000000.0
Dự án khu chăn nuôi Hà Tĩnh,Dự án khu chăn nuôi Hà Tĩnh,Dự án khu chăn nuôi Hà Tĩnh,7.424.949.272,7.424.949.272,7424949272.0,7424949272.0
Dự án lợn giống Dabaco Hải Phòng,Dự án lợn giống Dabaco Hải Phòng,Dự án lợn giống Dabaco Hải Phòng,-,103.745.618.065,,103745618065.0
Dự án hệ thống chuồng trại gà Yên Thế,Dự án hệ thống chuồng trại gà Yên Thế,Dự án hệ thống chuồng trại gà Yên Thế,-,71.185.070.508,,71185070508.0
Dự án nhà máy chế biển trùng,Dự án nhà máy chế biển trùng,Dự án nhà máy chế biển trùng,-,51.914.529.114,,51914529114.0
Trung tâm thương mại Qué Võ,Trung tâm thương mại Qué Võ,Trung tâm thương mại Qué Võ,-,36.615.723.376,,36615723376.0
Dự án nhà văn phòng Công ty Thương mại Dịch vụ Bắc Ninh (ACB),Dự án nhà văn phòng Công ty Thương mại Dịch vụ Bắc Ninh (ACB),Dự án nhà văn phòng Công ty Thương mại Dịch vụ Bắc Ninh (ACB),-,36.154.083.463,,36154083463.0
Các dự án khác,Các dự án khác,Các dự án khác,18.371.655.465,3.273.438.003,18371655465.0,3273438003.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.213.348.243.514,966.748.412.948,1213348243514.0,966748412948.0
