row_label_raw,row_label_full,Năm trước: > Số đầu năm > - Lợi nhuận trong năm,Vốn cổ phần đã phát hành > Năm trước: > 752.899.590.000 > -,Thặng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,Quỹ đầu tư phát triển > Năm trước: > 753.114.963.010 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 414.694.359.271 > 200.105.222.090,Đơn vị tính: VND Tổng cộng > Năm trước: > 2.339.141.904.502 > 200.105.222.090,numeric__Vốn cổ phần đã phát hành > Năm trước: > 752.899.590.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước: > 753.114.963.010 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 414.694.359.271 > 200.105.222.090,numeric__Đơn vị tính: VND Tổng cộng > Năm trước: > 2.339.141.904.502 > 200.105.222.090
- Trích lập các quỹ,- Trích lập các quỹ,- Trích lập các quỹ,-,-,304.459.728.162,(304.459.728.162),-,,,304459728162.0,-304459728162.0,
"- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(33.828.858.684),(33.828.858.684),,,,-33828858684.0,-33828858684.0
- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,75.285.060.000,-,-,(75.285.060.000),-,75285060000.0,,,-75285060000.0,
- Thuế thu nhập cá nhân từ chia cổ tức,- Thuế thu nhập cá nhân từ chia cổ tức,- Thuế thu nhập cá nhân từ chia cổ tức,-,-,-,(1.120.712.425),(1.120.712.425),,,,-1120712425.0,-1120712425.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,(1.680.950.246),(1.680.950.246),,,,-1680950246.0,-1680950246.0
Số cuối năm,Số cuối năm,Số cuối năm,828.184.650.000,418.432.992.221,1.057.574.691.172,198.424.271.844,2.502.616.605.237,828184650000.0,418432992221.0,1057574691172.0,198424271844.0,2502616605237.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,828.184.650.000,418.432.992.221,1.057.574.691.172,198.424.271.844,2.502.616.605.237,828184650000.0,418432992221.0,1057574691172.0,198424271844.0,2502616605237.0
- Lợi nhuận trong năm,Năm nay: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,360.235.354.153,360.235.354.153,,,,360235354153.0,360235354153.0
- Trích lập các quỹ (*),Năm nay: > - Trích lập các quỹ (*),- Trích lập các quỹ (*),-,-,82.100.730.090,(82.100.730.090),-,,,82100730090.0,-82100730090.0,
"- Trích lập quỹ khen thưởng, phúc lợi (*)","Năm nay: > - Trích lập quỹ khen thưởng, phúc lợi (*)","- Trích lập quỹ khen thưởng, phúc lợi (*)",-,-,-,(35.186.027.000),(35.186.027.000),,,,-35186027000.0,-35186027000.0
- Chia cổ tức (*),Năm nay: > - Chia cổ tức (*),- Chia cổ tức (*),-,-,-,(82.818.465.000),(82.818.465.000),,,,-82818465000.0,-82818465000.0
- Tăng khác,Năm nay: > - Tăng khác,- Tăng khác,-,-,-,1.680.950.246,1.680.950.246,,,,1680950246.0,1680950246.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,828.184.650.000,418.432.992.221,1.139.675.421.262,360.235.354.153,2.746.528.417.636,828184650000.0,418432992221.0,1139675421262.0,360235354153.0,2746528417636.0
