row_label_raw,row_label_full,Các khoản nợ thuê tài chính,Ngày 31 tháng 12 năm 2018 > 231.103.354.236,Kỳ hạn trả gốc và lãi > Gốc vay được trả làn cuối trong giai đoạn từ tháng 1 năm 2019 đến tháng 11 năm 2022. Lãi vay trả hàng tháng.,"Lãi suất năm > 8,5%-10,5%",numeric__Ngày 31 tháng 12 năm 2018 > 231.103.354.236,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả làn cuối trong giai đoạn từ tháng 1 năm 2019 đến tháng 11 năm 2022. Lãi vay trả hàng tháng.,"numeric__Lãi suất năm > 8,5%-10,5%"
Tổng cộng,Tổng cộng,Tổng cộng,231.103.354.236,,,231103354236.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Nợ dài hạn đến hạn trả,Trong đó: > Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,82.534.565.430,,,82534565430.0,,
Nợ dài hạn,Trong đó: > Nợ dài hạn,Nợ dài hạn,148.568.788.806,,,148568788806.0,,
