row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,421.988.149.134,22.139.190.000,444.127.339.134,421988149134.0,22139190000.0,444127339134.0
Thuê thêm trong năm,Nguyên giá: > Thuê thêm trong năm,Thuê thêm trong năm,154.133.288.419,-,154.133.288.419,154133288419.0,,154133288419.0
Giảm khác (*),Nguyên giá: > Giảm khác (*),Giảm khác (*),(33.559.305.576),(6.732.000.000),(40.291.305.576),-33559305576.0,-6732000000.0,-40291305576.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,542.562.131.977,15.407.190.000,557.969.321.977,542562131977.0,15407190000.0,557969321977.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,103.927.639.900,14.021.276.639,117.948.916.539,103927639900.0,14021276639.0,117948916539.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,39.645.615.368,3.517.333.232,43.162.948.600,39645615368.0,3517333232.0,43162948600.0
Giảm khác (*),Giá trị khấu hao lũy kế: > Giảm khác (*),Giảm khác (*),(21.107.014.399),(5.056.073.280),(26.163.087.679),-21107014399.0,-5056073280.0,-26163087679.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,122.466.240.869,12.482.536.591,134.948.777.460,122466240869.0,12482536591.0,134948777460.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,318.060.509.234,8.117.913.361,326.178.422.595,318060509234.0,8117913361.0,326178422595.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,420.095.891.108,2.924.653.409,423.020.544.517,420095891108.0,2924653409.0,423020544517.0
