row_label_raw,row_label_full,col_0,Số đầu năm,Số phát sinh trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phát sinh trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,70.890.267,8.628.136.768,(8.631.171.096),42.136.590,70890267.0,8628136768.0,-8631171096.0,42136590.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,56.994.844.317,33.123.360.160,(61.544.820.040),28.573.384.437,56994844317.0,33123360160.0,-61544820040.0,28573384437.0
Tiền sử dụng đất,Phải nộp > Tiền sử dụng đất,Tiền sử dụng đất,7.863.534.500,5.914.942.785,(13.778.477.285),-,7863534500.0,5914942785.0,-13778477285.0,
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,57.543.483,(57.543.483),-,,57543483.0,-57543483.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,64.929.269.084,47.723.983.196,(84.012.011.904),28.615.521.027,64929269084.0,47723983196.0,-84012011904.0,28615521027.0
,,,Số đầu năm,Số kê khai hoàn trong năm,Số đã cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,69.475.639.604,126.524.665.006,(52.787.298.152),143.213.006.458,69475639604.0,126524665006.0,-52787298152.0,143213006458.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,69.475.639.604,126.524.665.006,(52.787.298.152),143.213.006.458,69475639604.0,126524665006.0,-52787298152.0,143213006458.0
