row_label_raw,row_label_full,col_0,Giá trị ghi số(đồng thời là giá trị hợp lý) > Số cuối năm,Giá trị ghi số(đồng thời là giá trị hợp lý) > Số đầu năm,numeric__Giá trị ghi số(đồng thời là giá trị hợp lý) > Số cuối năm,numeric__Giá trị ghi số(đồng thời là giá trị hợp lý) > Số đầu năm
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,87.233.693.082,87.233.693.082,87233693082.0,87233693082.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,87.233.693.082,87.233.693.082,87233693082.0,87233693082.0
