row_label_raw,row_label_full,Tên đơn vị,col_1,Ngày 31 tháng 12 năm 2018 > Giá trị (VND),Ngày 31 tháng 12 năm 2018 > Tỷ lệ vốn nấm giữ,Ngày 31 tháng 12 năm 2018 > Tỷ lệ quyền biểu quyết,Ngày 31 tháng 12 năm 2017 > Giá trị (VND),Ngày 31 tháng 12 năm 2017 > Tỷ lệ vốn nấm giữ,Ngày 31 tháng 12 năm 2017 > Tỷ lệ quyền biểu quyết,numeric__col_1,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị (VND),numeric__Ngày 31 tháng 12 năm 2018 > Tỷ lệ vốn nấm giữ,numeric__Ngày 31 tháng 12 năm 2018 > Tỷ lệ quyền biểu quyết,numeric__Ngày 31 tháng 12 năm 2017 > Giá trị (VND),numeric__Ngày 31 tháng 12 năm 2017 > Tỷ lệ vốn nấm giữ,numeric__Ngày 31 tháng 12 năm 2017 > Tỷ lệ quyền biểu quyết
Công ty Cổ phần Transeco Công ty TNHH,Công ty Cổ phần Transeco Công ty TNHH,Công ty Cổ phần Transeco Công ty TNHH,(i),20.000.000.000,"33,33%","33,33%",20.000.000.000,"33,33%","33,33%",,20000000000.0,0.3333,0.3333,20000000000.0,0.3333,0.3333
Chế biển thực phẩm Dabaco,Chế biển thực phẩm Dabaco,Chế biển thực phẩm Dabaco,(ii),67.233.693.082,45%,45%,67.233.693.082,45%,45%,,67233693082.0,0.45,0.45,67233693082.0,0.45,0.45
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,87.233.693.082,,,87.233.693.082,,,,87233693082.0,,,87233693082.0,,
