row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngắn hàng(Thuyết minh số 21.1),Vay ngắn hạn > Vay ngắn hạn ngắn hàng(Thuyết minh số 21.1),Vay ngắn hạn ngắn hàng(Thuyết minh số 21.1),2.103.205.083.940,2.103.205.083.940,4.678.054.418.113,(4.359.984.380.834),2.461.239.173.219,2.461.239.173.219,2103205083940.0,2103205083940.0,4678054418113.0,-4359984380834.0,2461239173219.0,2461239173219.0
Vay dài hạn đến hạn trả(Thuyết minh số 21.2),Vay ngắn hạn > Vay dài hạn đến hạn trả(Thuyết minh số 21.2),Vay dài hạn đến hạn trả(Thuyết minh số 21.2),108.591.278.859,108.591.278.859,191.826.891.435,(94.060.946.756),166.393.171.538,166.393.171.538,108591278859.0,108591278859.0,191826891435.0,-94060946756.0,166393171538.0,166393171538.0
Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 21.3),Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 21.3),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 21.3),81.256.673.709,81.256.673.709,83.573.331.081,(82.295.439.360),82.534.565.430,82.534.565.430,81256673709.0,81256673709.0,83573331081.0,-82295439360.0,82534565430.0,82534565430.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,751.000.000,751.000.000,-,(351.000.000),400.000.000,400.000.000,751000000.0,751000000.0,,-351000000.0,400000000.0,400000000.0
,,,2.293.804.036.508,2.293.804.036.508,4.953.454.640.629,(4.536.691.766.950),2.710.566.910.187,2.710.566.910.187,2293804036508.0,2293804036508.0,4953454640629.0,-4536691766950.0,2710566910187.0,2710566910187.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngắn hàng(Thuyết minh số 21.2),Vay dài hạn > Vay ngắn hàng(Thuyết minh số 21.2),Vay ngắn hàng(Thuyết minh số 21.2),732.387.672.534,732.387.672.534,465.671.420.474,(221.626.891.435),974.591.201.573,974.591.201.573,732387672534.0,732387672534.0,465671420474.0,-221626891435.0,974591201573.0,974591201573.0
Nợ thuê tài chính(Thuyết minh số 21.3),Vay dài hạn > Nợ thuê tài chính(Thuyết minh số 21.3),Nợ thuê tài chính(Thuyết minh số 21.3),186.914.611.578,186.914.611.578,57.719.272.608,(97.906.095.380),148.568.788.806,148.568.788.806,186914611578.0,186914611578.0,57719272608.0,-97906095380.0,148568788806.0,148568788806.0
Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh(Thuyết minh số 21.4),Vay dài hạn > Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh(Thuyết minh số 21.4),Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh(Thuyết minh số 21.4),94.000.000.000,94.000.000.000,-,-,94.000.000.000,94.000.000.000,94000000000.0,94000000000.0,,,94000000000.0,94000000000.0
Vay đối tượng khác(Thuyết minh số 21.5),Vay dài hạn > Vay đối tượng khác(Thuyết minh số 21.5),Vay đối tượng khác(Thuyết minh số 21.5),-,-,70.000.000.000,-,70.000.000.000,70.000.000.000,,,70000000000.0,,70000000000.0,70000000000.0
TỔNG CỔNG,Vay dài hạn > TỔNG CỔNG,TỔNG CỔNG,1.013.302.284.112,1.013.302.284.112,593.390.693.082,(319.532.986.815),1.287.159.990.379,1.287.159.990.379,1013302284112.0,1013302284112.0,593390693082.0,-319532986815.0,1287159990379.0,1287159990379.0
