row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018_1,Ngày 31 tháng 12 năm 2018_2,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2018_1,numeric__Ngày 31 tháng 12 năm 2018_2
,,,Tổng khoản thanh toán tiền thuê tài chính,Lãi thuê tài chính,Nợ gốc,,,
Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,101.121.757.702,18.587.192.272,82.534.565.430,101121757702.0,18587192272.0,82534565430.0
Nợ thuê tài chính dài hạn\nTừ 1-5 năm,Nợ thuê tài chính dài hạn\nTừ 1-5 năm,Nợ thuê tài chính dài hạn\nTừ 1-5 năm,173.136.490.983,24.567.702.177,148.568.788.806,173136490983.0,24567702177.0,148568788806.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,274.258.248.685,43.154.894.449,231.103.354.236,274258248685.0,43154894449.0,231103354236.0
,,,,,Đơn vị tính: VND,,,
,,,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,,,
,,,Tổng khoản thanh toán tiền thuê tài chính,Lãi thuê tài chính,Nợ gốc,,,
Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,Nợ thuê tài chính ngắn hạn\nTừ 1 năm trở xuống,102.150.913.794,20.894.240.085,81.256.673.709,102150913794.0,20894240085.0,81256673709.0
Nợ thuê tài chính dài hạn\nTừ 1-5 năm,Nợ thuê tài chính dài hạn\nTừ 1-5 năm,Nợ thuê tài chính dài hạn\nTừ 1-5 năm,211.355.404.527,24.440.792.949,186.914.611.578,211355404527.0,24440792949.0,186914611578.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,313.506.318.321,45.335.033.034,268.171.285.287,313506318321.0,45335033034.0,268171285287.0
