row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND,Ngày 31 tháng 12năm 2018,Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 1 năm 2019 đến tháng 1 năm 2024. Lãi vay trả hàng tháng.,"Đơn vị tính: VNDLãi suấtnăm > 9,2% - 12,3%",numeric__Ngày 31 tháng 12năm 2018,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 1 năm 2019 đến tháng 1 năm 2024. Lãi vay trả hàng tháng.,"numeric__Đơn vị tính: VNDLãi suấtnăm > 9,2% - 12,3%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.140.984.373.111,,,1140984373111.0,,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,166.393.171.538974.591.201.573,,,1.663931715389746e+23,,
