row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,"Máy móc, thiết bị",Phương tiện vận tải,Trang thiết bị văn phòng,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Trang thiết bị văn phòng,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.812.213.373.788,1.060.439.695.431,154.585.957.760,15.377.731.563,3.042.616.758.542,1812213373788.0,1060439695431.0,154585957760.0,15377731563.0,3042616758542.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.075.621.000,113.673.391.306,11.867.279.158,1.439.053.358,128.055.344.822,1075621000.0,113673391306.0,11867279158.0,1439053358.0,128055344822.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,516.686.568.136,179.341.220.433,1.739.082.182,2.945.867.483,700.712.738.234,516686568136.0,179341220433.0,1739082182.0,2945867483.0,700712738234.0
Tăng khác (*),Nguyên giá: > Tăng khác (*),Tăng khác (*),-,36.249.177.212,6.740.000.000,-,42.989.177.212,,36249177212.0,6740000000.0,,42989177212.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(25.408.494.897),(46.002.159.323),(5.049.281.840),(390.978.954),(76.850.915.014),-25408494897.0,-46002159323.0,-5049281840.0,-390978954.0,-76850915014.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,(14.384.329.893),9.693.064.093,(2.438.700.000),7.129.965.800,-,-14384329893.0,9693064093.0,-2438700000.0,7129965800.0,
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.290.182.738.134,1.353.394.389.152,167.444.337.260,26.501.639.250,3.837.523.103.796,2290182738134.0,1353394389152.0,167444337260.0,26501639250.0,3837523103796.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,33.240.276.990,82.333.519.072,39.789.496.971,130.942.856.185,286.306.149.218,33240276990.0,82333519072.0,39789496971.0,130942856185.0,286306149218.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,404.362.556.307,339.207.473.422,88.530.503.774,8.141.201.637,840.241.735.140,404362556307.0,339207473422.0,88530503774.0,8141201637.0,840241735140.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,104.421.684.017,98.791.858.420,9.912.187.148,2.024.745.568,215.150.475.153,104421684017.0,98791858420.0,9912187148.0,2024745568.0,215150475153.0
Tăng khác (*),Giá trị khấu hao lũy kế: > Tăng khác (*),Tăng khác (*),-,21.107.014.399,6.721.563.411,39.631.680,27.868.209.490,,21107014399.0,6721563411.0,39631680.0,27868209490.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(12.244.302.346),(30.617.566.024),(4.905.362.484),(390.978.954),(48.158.209.808),-12244302346.0,-30617566024.0,-4905362484.0,-390978954.0,-48158209808.0
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,(206.215.731),81.675.000,-,124.540.731,-,-206215731.0,81675000.0,,124540731.0,
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,496.333.722.247,428.570.455.217,100.258.891.849,9.939.140.662,1.035.102.209.975,496333722247.0,428570455217.0,100258891849.0,9939140662.0,1035102209975.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.407.850.817.481,721.232.222.009,66.055.453.986,7.236.529.926,2.202.375.023.402,1407850817481.0,721232222009.0,66055453986.0,7236529926.0,2202375023402.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.793.849.015.887,924.823.933.935,67.185.445.411,16.562.498.588,2.802.420.893.821,1793849015887.0,924823933935.0,67185445411.0,16562498588.0,2802420893821.0
Trong đó:Tài sản sử dụng để cẩm cố/thế chấp (**),Giá trị còn lại: > Trong đó:Tài sản sử dụng để cẩm cố/thế chấp (**),Trong đó:Tài sản sử dụng để cẩm cố/thế chấp (**),813.283.834.435,468.568.982.930,14.257.932.735,-,1.296.110.750.099,813283834435.0,468568982930.0,14257932735.0,,1296110750099.0
