row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,258.384.611.438,210.292.556.195,258384611438.0,210292556195.0
- Chi phí vật liệu và công cụ dụng cụ,- Chi phí vật liệu và công cụ dụng cụ,- Chi phí vật liệu và công cụ dụng cụ,14.890.459.245,10.057.715.274,14890459245.0,10057715274.0
- Chi phí nhân công,- Chi phí nhân công,- Chi phí nhân công,146.407.305.927,109.504.538.364,146407305927.0,109504538364.0
"- Chi phí vận chuyển, bốc vác","- Chi phí vận chuyển, bốc vác","- Chi phí vận chuyển, bốc vác",20.728.580.126,19.694.355.544,20728580126.0,19694355544.0
- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,21.101.628.811,17.615.878.881,21101628811.0,17615878881.0
"- Chi phí quảng cáo, khuyến mại","- Chi phí quảng cáo, khuyến mại","- Chi phí quảng cáo, khuyến mại",4.863.412.413,6.714.643.394,4863412413.0,6714643394.0
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,26.543.687.548,26.783.228.285,26543687548.0,26783228285.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,23.849.537.368,19.922.196.453,23849537368.0,19922196453.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,281.328.855.897,224.532.661.301,281328855897.0,224532661301.0
- Chi phí văn phòng phẩm,- Chi phí văn phòng phẩm,- Chi phí văn phòng phẩm,21.057.074.982,25.631.193.066,21057074982.0,25631193066.0
- Chi phí nhân công,- Chi phí nhân công,- Chi phí nhân công,113.794.320.830,91.031.933.669,113794320830.0,91031933669.0
- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,25.087.105.556,30.739.083.029,25087105556.0,30739083029.0
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,54.874.905.825,55.578.019.225,54874905825.0,55578019225.0
- Chi phí dự phòng phải thu khó đòi và chi phí xóa nợ phải thu,- Chi phí dự phòng phải thu khó đòi và chi phí xóa nợ phải thu,- Chi phí dự phòng phải thu khó đòi và chi phí xóa nợ phải thu,40.621.380.760,-,40621380760.0,
- Chi phí khác,- Chi phí khác,- Chi phí khác,25.894.067.944,21.552.432.312,25894067944.0,21552432312.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,539.713.467.335,434.825.217.496,539713467335.0,434825217496.0
