row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,373.805.662.573,42.070.267.782,373805662573.0,42070267782.0
- Marubeni Grain & Oilseeds Trading Asia,- Marubeni Grain & Oilseeds Trading Asia,- Marubeni Grain & Oilseeds Trading Asia,-,18.064.321.600,,18064321600.0
- Enerfo Pte.Ltd,- Enerfo Pte.Ltd,- Enerfo Pte.Ltd,122.042.351.813,19.870.390.000,122042351813.0,19870390000.0
- Cargill,- Cargill,- Cargill,89.624.546.826,-,89624546826.0,
"- CJ International Asia Pte,LTD","- CJ International Asia Pte,LTD","- CJ International Asia Pte,LTD",28.519.871.625,-,28519871625.0,
"- The Delong Co., INC","- The Delong Co., INC","- The Delong Co., INC",24.399.761.623,-,24399761623.0,
- Export Trading Commodities,- Export Trading Commodities,- Export Trading Commodities,18.228.944.016,-,18228944016.0,
- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,90.990.186.670,4.135.556.182,90990186670.0,4135556182.0
Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,549.260.354.979,522.063.493.819,549260354979.0,522063493819.0
- Công ty Cổ phần Xây dựng số 1 Vinaconex,- Công ty Cổ phần Xây dựng số 1 Vinaconex,- Công ty Cổ phần Xây dựng số 1 Vinaconex,-,14.491.793.278,,14491793278.0
- Công ty TNHH Marine Functional VN,- Công ty TNHH Marine Functional VN,- Công ty TNHH Marine Functional VN,-,13.285.720.345,,13285720345.0
- Công ty Cổ phần Đầu tư Xây dựng GDC Hà Nội,- Công ty Cổ phần Đầu tư Xây dựng GDC Hà Nội,- Công ty Cổ phần Đầu tư Xây dựng GDC Hà Nội,-,12.790.758.071,,12790758071.0
- Công ty TNHH Tiến Việt - Thái,- Công ty TNHH Tiến Việt - Thái,- Công ty TNHH Tiến Việt - Thái,-,11.675.503.920,,11675503920.0
- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,549.260.354.979,469.819.718.205,549260354979.0,469819718205.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,923.066.017.552,564.133.761.601,923066017552.0,564133761601.0
