row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốcVND,31/12/2015 > Giá trịcó thể thu hồiVND,01/01/2015 > Giá gốcVND,01/01/2015 > Giá trịcó thể thu hồiVND,numeric__31/12/2015 > Giá gốcVND,numeric__31/12/2015 > Giá trịcó thể thu hồiVND,numeric__01/01/2015 > Giá gốcVND,numeric__01/01/2015 > Giá trịcó thể thu hồiVND
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,1.053.856.872.618,1.053.856.872.618,2.527.454.359.102,2.527.454.359.102,1053856872618.0,1053856872618.0,2527454359102.0,2527454359102.0
- Mua sắm tài sản cố định,- Mua sắm tài sản cố định,- Mua sắm tài sản cố định,14.136.140.642,14.136.140.642,6.588.760.380,6.588.760.380,14136140642.0,14136140642.0,6588760380.0,6588760380.0
- Xây dựng cơ bản,- Xây dựng cơ bản,- Xây dựng cơ bản,961.314.256.090,961.314.256.090,1.489.818.562.951,1.489.818.562.951,961314256090.0,961314256090.0,1489818562951.0,1489818562951.0
Nhà ga hành khách - CHK Quốc tế Cát Bi,Nhà ga hành khách - CHK Quốc tế Cát Bi,Nhà ga hành khách - CHK Quốc tế Cát Bi,310.397.729.263,310.397.729.263,33.033.634.494,33.033.634.494,310397729263.0,310397729263.0,33033634494.0,33033634494.0
"Sửa chữa, Cải tạo và mở rộng sân đồ máy bay - Cảng HKQT Tân Sơn Nhất","Sửa chữa, Cải tạo và mở rộng sân đồ máy bay - Cảng HKQT Tân Sơn Nhất","Sửa chữa, Cải tạo và mở rộng sân đồ máy bay - Cảng HKQT Tân Sơn Nhất",194.258.785.930,194.258.785.930,-,-,194258785930.0,194258785930.0,,
Nhà ga hành khách - Cảng hàng không Thọ Xuân,Nhà ga hành khách - Cảng hàng không Thọ Xuân,Nhà ga hành khách - Cảng hàng không Thọ Xuân,89.259.710.457,89.259.710.457,3.765.550.982,3.765.550.982,89259710457.0,89259710457.0,3765550982.0,3765550982.0
Mở rộng Nhà ga quốc tế T2- Cảng HKQT Tân Sơn Nhất,Mở rộng Nhà ga quốc tế T2- Cảng HKQT Tân Sơn Nhất,Mở rộng Nhà ga quốc tế T2- Cảng HKQT Tân Sơn Nhất,43.818.794.690,43.818.794.690,11.557.103.284,11.557.103.284,43818794690.0,43818794690.0,11557103284.0,11557103284.0
Xây dựng kè chẩn sóng khu vực đường HCC đầu 29 - Cảng hàng không Côn Sơn,Xây dựng kè chẩn sóng khu vực đường HCC đầu 29 - Cảng hàng không Côn Sơn,Xây dựng kè chẩn sóng khu vực đường HCC đầu 29 - Cảng hàng không Côn Sơn,43.031.650.891,43.031.650.891,3.630.287.739,3.630.287.739,43031650891.0,43031650891.0,3630287739.0,3630287739.0
Hệ thống thiết bị hạ cánh chính xác ILS - Cảng hàng không Liên Khuương,Hệ thống thiết bị hạ cánh chính xác ILS - Cảng hàng không Liên Khuương,Hệ thống thiết bị hạ cánh chính xác ILS - Cảng hàng không Liên Khuương,29.164.512.087,29.164.512.087,-,-,29164512087.0,29164512087.0,,
Xây dựng hàng rào an ninh - Cảng hàng không Buôn Ma Thuột,Xây dựng hàng rào an ninh - Cảng hàng không Buôn Ma Thuột,Xây dựng hàng rào an ninh - Cảng hàng không Buôn Ma Thuột,16.782.166.728,16.782.166.728,1.109.100.665,1.109.100.665,16782166728.0,16782166728.0,1109100665.0,1109100665.0
