row_label_raw,row_label_full,col_0,Chênh lệch đánh giá lại tài sản,Lợi nhuận sau thuế chưa phân phối và các quỹ,Nguồn vốn đầu tư xây dựng cơ bản,Quỹ hỗ trợ sắp xếp doanh nghiệp,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Chênh lệch đánh giá lại tài sản,numeric__Lợi nhuận sau thuế chưa phân phối và các quỹ,numeric__Nguồn vốn đầu tư xây dựng cơ bản,numeric__Quỹ hỗ trợ sắp xếp doanh nghiệp,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
01/01/2014,01/01/2014,01/01/2014,-,1.840.111.144.882,4.082.582.139.564,562.335.044,90.523.429.332,17.067.571.520.638,,1840111144882.0,4082582139564.0,562335044.0,90523429332.0,17067571520638.0
- Tăng vốn trong năm trước,- Tăng vốn trong năm trước,- Tăng vốn trong năm trước,-,-,(4.404.521.371.311),758.151.301,746.859.920.000,747.618.071.301,,,-4404521371311.0,758151301.0,746859920000.0,747618071301.0
- Tăng vốn XDCB từ NSNN,- Tăng vốn XDCB từ NSNN,- Tăng vốn XDCB từ NSNN,-,-,321.939.231.747,-,-,321.939.231.747,,,321939231747.0,,,321939231747.0
- Lãi trong năm trước,- Lãi trong năm trước,- Lãi trong năm trước,-,2.632.173.603.446,-,-,1.644.623.539,2.633.818.226.985,,2632173603446.0,,,1644623539.0,2633818226985.0
- Điều chỉnh phần vốn góp vào đơn vị khác,- Điều chỉnh phần vốn góp vào đơn vị khác,- Điều chỉnh phần vốn góp vào đơn vị khác,-,-,-,-,-,464.034.980.885,,,,,,464034980885.0
- Chênh lệch tiền thu bán cổ phần của Công ty Cổ phần DVHK Sản bay Tân Sơn Nhất,- Chênh lệch tiền thu bán cổ phần của Công ty Cổ phần DVHK Sản bay Tân Sơn Nhất,- Chênh lệch tiền thu bán cổ phần của Công ty Cổ phần DVHK Sản bay Tân Sơn Nhất,-,-,-,345.557.229.524,-,345.557.229.524,,,,345557229524.0,,345557229524.0
- Truy thu thuế TNDN phải nộp,- Truy thu thuế TNDN phải nộp,- Truy thu thuế TNDN phải nộp,-,(19.355.368.035),-,-,-,(19.355.368.035),,-19355368035.0,,,,-19355368035.0
- Trích lập các quỹ,- Trích lập các quỹ,- Trích lập các quỹ,-,(793.265.816.024),-,-,(671.272.180),(415.165.169.595),,-793265816024.0,,,-671272180.0,-415165169595.0
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,(131.640.729.201),-,-,(4.312.913.317),(135.953.642.518),,-131640729201.0,,,-4312913317.0,-135953642518.0
- Nộp lợi nhuận còn lại vào NSNN,- Nộp lợi nhuận còn lại vào NSNN,- Nộp lợi nhuận còn lại vào NSNN,-,(594.971.281.730),-,-,-,(594.971.281.730),,-594971281730.0,,,,-594971281730.0
- Chênh lệch tỷ giá,- Chênh lệch tỷ giá,- Chênh lệch tỷ giá,-,,-,-,(2.089.315.088),(3.069.083.053),,,,,-2089315088.0,-3069083053.0
- Chuyển Quỹ đầu tư phát triển và lợi nhuận về Tổng Công ty,- Chuyển Quỹ đầu tư phát triển và lợi nhuận về Tổng Công ty,- Chuyển Quỹ đầu tư phát triển và lợi nhuận về Tổng Công ty,-,,-,-,-,(22.681.432.933),,,,,,-22681432933.0
- Tăng quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợi nhuận và quỹ thu từ các công ty con,- Tăng quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợi nhuận và quỹ thu từ các công ty con,- Tăng quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợi nhuận và quỹ thu từ các công ty con,-,(22.163.048.151),-,134.803.998.525,,112.640.950.374,,-22163048151.0,,134803998525.0,,112640950374.0
"- Điều chỉnh lợi ích trong công ty liên doanh, liên kết","- Điều chỉnh lợi ích trong công ty liên doanh, liên kết","- Điều chỉnh lợi ích trong công ty liên doanh, liên kết",-,(8.232.478.467),-,-,,(8.232.478.467),,-8232478467.0,,,,-8232478467.0
- Giảm phần lợi ích của cổ đông thiểu số,- Giảm phần lợi ích của cổ đông thiểu số,- Giảm phần lợi ích của cổ đông thiểu số,-,,-,-,,-,,,,,,
- Ảnh hưởng do thay đổi tỷ lệ lợi ích khoản đầu tư vào đơn vị khác,- Giảm phần lợi ích của cổ đông thiểu số > - Ảnh hưởng do thay đổi tỷ lệ lợi ích khoản đầu tư vào đơn vị khác,- Ảnh hưởng do thay đổi tỷ lệ lợi ích khoản đầu tư vào đơn vị khác,-,1.733.800.910,-,-,(3.228.851.085),(4.083.762.703),,1733800910.0,,,-3228851085.0,-4083762703.0
+ Công ty Cổ phần Vận tải Hàng không miền Nam,- Giảm phần lợi ích của cổ đông thiểu số > + Công ty Cổ phần Vận tải Hàng không miền Nam,+ Công ty Cổ phần Vận tải Hàng không miền Nam,-,(324.746.646),-,-,(1.170.303.529),(4.083.762.703),,-324746646.0,,,-1170303529.0,-4083762703.0
