row_label_raw,row_label_full,Chỉ tiêu,Mã số,Sau điều chỉnh VND,Năm 2014 Điều chỉnh VND,Trước điều chỉnh VND,numeric__Mã số,numeric__Sau điều chỉnh VND,numeric__Năm 2014 Điều chỉnh VND,numeric__Trước điều chỉnh VND
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
Lợi nhuận trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,3.407.508.061.418,99.609.491.530,3.307.898.569.888,1.0,3407508061418.0,99609491530.0,3307898569888.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,
Khẩu hao TSCĐ và BĐSDĐT,Điều chỉnh cho các khoản > Khẩu hao TSCĐ và BĐSDĐT,Khẩu hao TSCĐ và BĐSDĐT,02,2.127.626.078.471,(65.478.508),2.127.691.556.979,2.0,2127626078471.0,-65478508.0,2127691556979.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,(61.062.170.277),-,(61.062.170.277),3.0,-61062170277.0,,-61062170277.0
Lỗ/(Lãi) các khoản chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh cho các khoản > Lỗ/(Lãi) các khoản chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ/(Lãi) các khoản chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,(1.451.164.079.041),(3.437.159.692),(1.447.726.919.349),4.0,-1451164079041.0,-3437159692.0,-1447726919349.0
(Lãi) từ hoạt động đầu tư,Điều chỉnh cho các khoản > (Lãi) từ hoạt động đầu tư,(Lãi) từ hoạt động đầu tư,05,(975.035.978.050),(22.549.833.194),(952.486.144.856),5.0,-975035978050.0,-22549833194.0,-952486144856.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,66.409.859.888,-,66.409.859.888,6.0,66409859888.0,,66409859888.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,3.114.281.772.409,73.557.020.136,3.040.724.752.273,8.0,3114281772409.0,73557020136.0,3040724752273.0
Giảm các khoản phải thu,Điều chỉnh cho các khoản > Giảm các khoản phải thu,Giảm các khoản phải thu,09,2.271.929.400.450,(10.840.255.152),2.282.769.655.602,9.0,2271929400450.0,-10840255152.0,2282769655602.0
(Tăng) hàng tồn kho,Điều chỉnh cho các khoản > (Tăng) hàng tồn kho,(Tăng) hàng tồn kho,10,(27.185.926.215),522.798.146,(27.708.724.361),10.0,-27185926215.0,522798146.0,-27708724361.0
"(Giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Điều chỉnh cho các khoản > (Giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","(Giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(1.305.489.614.654),(47.366.768.845),(1.258.122.845.809),11.0,-1305489614654.0,-47366768845.0,-1258122845809.0
(Tăng)/ giảm chi phí trả trước,Điều chỉnh cho các khoản > (Tăng)/ giảm chi phí trả trước,(Tăng)/ giảm chi phí trả trước,12,4.202.283.872,(2.572.098.343),6.774.382.215,12.0,4202283872.0,-2572098343.0,6774382215.0
