row_label_raw,row_label_full,col_0,01/01/2015,Số phải nộp trong năm,Số đã thực nộp trong năm,31/12/2015,numeric__01/01/2015,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__31/12/2015
,,,VND,VND,VND,VND,,,,
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,878.337.690.050,2.723.356.812.542,2.906.130.939.136,695.563.563.456,878337690050.0,2723356812542.0,2906130939136.0,695563563456.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.965.544.776,617.123.913.631,603.603.286.662,16.486.171.745,2965544776.0,617123913631.0,603603286662.0,16486171745.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,263.780.630,1.771.977.646,2.035.758.276,-,263780630.0,1771977646.0,2035758276.0,
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,1.317.003.123,1.317.003.123,-,,1317003123.0,1317003123.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,593.083.560.093,558.989.410.564,901.893.766.597,250.179.204.060,593083560093.0,558989410564.0,901893766597.0,250179204060.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,203.093.412,30.746.882.657,26.238.603.277,4.711.372.792,203093412.0,30746882657.0,26238603277.0,4711372792.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,94.507.587,1.160.480.969,1.134.829.471,120.159.085,94507587.0,1160480969.0,1134829471.0,120159085.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,9.343.085.320,9.343.085.320,-,,9343085320.0,9343085320.0,
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,33.619.824,50.833.499,84.453.323,-,33619824.0,50833499.0,84453323.0,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",281.693.583.728,1.502.853.225.133,1.360.480.153.087,424.066.655.774,281693583728.0,1502853225133.0,1360480153087.0,424066655774.0
+ Lợi nhuận nộp ngân sách,+ Lợi nhuận nộp ngân sách,+ Lợi nhuận nộp ngân sách,280.903.142.148,1.488.987.057.909,1.345.874.480.669,424.015.719.388,280903142148.0,1488987057909.0,1345874480669.0,424015719388.0
+ Các khoản phải nộp khác,+ Các khoản phải nộp khác,+ Các khoản phải nộp khác,790.441.580,13.866.167.224,14.605.672.418,50.936.386,790441580.0,13866167224.0,14605672418.0,50936386.0
