row_label_raw,row_label_full,col_0,31/12/2015 > Giá trịVND,31/12/2015 > Số có khã năng trả nợVND,01/01/2015 > Giá trịVND,01/01/2015 > Số có khã năng trả nợVND,numeric__31/12/2015 > Giá trịVND,numeric__31/12/2015 > Số có khã năng trả nợVND,numeric__01/01/2015 > Giá trịVND,numeric__01/01/2015 > Số có khã năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,307.816.114.542,307.816.114.542,249.576.290.862,249.576.290.862,307816114542.0,307816114542.0,249576290862.0,249576290862.0
- Ngân hàng hợp tác Quốc tế Nhật Bản (JBIC) (1),- Ngân hàng hợp tác Quốc tế Nhật Bản (JBIC) (1),- Ngân hàng hợp tác Quốc tế Nhật Bản (JBIC) (1),137.210.994.368,137.210.994.368,130.653.465.281,130.653.465.281,137210994368.0,137210994368.0,130653465281.0,130653465281.0
- Ngân hàng Thương mại Cổ phần Công thương Việt Nam - TP. Hồ Chí Minh Chi nhánh 7 (2),- Ngân hàng Thương mại Cổ phần Công thương Việt Nam - TP. Hồ Chí Minh Chi nhánh 7 (2),- Ngân hàng Thương mại Cổ phần Công thương Việt Nam - TP. Hồ Chí Minh Chi nhánh 7 (2),55.863.165.302,55.863.165.302,37.178.146.400,37.178.146.400,55863165302.0,55863165302.0,37178146400.0,37178146400.0
- Ngân hàng Thương mại Cổ phần Quân Đội - Chi nhánh Sở giao dịch 2 (3),- Ngân hàng Thương mại Cổ phần Quân Đội - Chi nhánh Sở giao dịch 2 (3),- Ngân hàng Thương mại Cổ phần Quân Đội - Chi nhánh Sở giao dịch 2 (3),53.088.804.318,53.088.804.318,-,-,53088804318.0,53088804318.0,,
- Ngân hàng Thương mại Chinatrust - Chi nhánh TP. Hồ Chí Minh,- Ngân hàng Thương mại Chinatrust - Chi nhánh TP. Hồ Chí Minh,- Ngân hàng Thương mại Chinatrust - Chi nhánh TP. Hồ Chí Minh,-,-,16.584.162.952,16.584.162.952,,,16584162952.0,16584162952.0
- Ngân hàng TNHH Một thành viên ANZ (Việt Nam) (4),- Ngân hàng TNHH Một thành viên ANZ (Việt Nam) (4),- Ngân hàng TNHH Một thành viên ANZ (Việt Nam) (4),35.589.860.493,35.589.860.493,65.160.516.229,65.160.516.229,35589860493.0,35589860493.0,65160516229.0,65160516229.0
- Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh (5),- Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh (5),- Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh (5),26.063.290.061,26.063.290.061,-,-,26063290061.0,26063290061.0,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,13.118.821.693.739,13.118.821.693.739,12.268.066.570.726,12.007.833.070.366,13118821693739.0,13118821693739.0,12268066570726.0,12007833070366.0
- Ngân hàng hợp tác Quốc tế Nhật Bản (JBIC) - Dự án xây dựng nhà ga hành khách Quốc tế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (1),- Ngân hàng hợp tác Quốc tế Nhật Bản (JBIC) - Dự án xây dựng nhà ga hành khách Quốc tế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (1),- Ngân hàng hợp tác Quốc tế Nhật Bản (JBIC) - Dự án xây dựng nhà ga hành khách Quốc tế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (1),3.430.274.859.152,3.430.274.859.152,3.396.990.099.575,3.396.990.099.575,3430274859152.0,3430274859152.0,3396990099575.0,3396990099575.0
- Ngân hàng hợp tác Quốc tế Nhật Bản (JBIC) - Dự án xây dựng nhà ga Quốc tế Nội Bài T2 bằng nguồn vốn ODA (6),- Ngân hàng hợp tác Quốc tế Nhật Bản (JBIC) - Dự án xây dựng nhà ga Quốc tế Nội Bài T2 bằng nguồn vốn ODA (6),- Ngân hàng hợp tác Quốc tế Nhật Bản (JBIC) - Dự án xây dựng nhà ga Quốc tế Nội Bài T2 bằng nguồn vốn ODA (6),2.320.977.723.965,2.320.977.723.965,2.210.054.551.798,2.210.054.551.798,2320977723965.0,2320977723965.0,2210054551798.0,2210054551798.0
