row_label_raw,row_label_full,TÀI SẢN,Mã số,01/01/2015 > Sau điều chỉnh VND,01/01/2015 > Điều chỉnh VND,01/01/2015 > Trước điều chỉnh VND,numeric__Mã số,numeric__01/01/2015 > Sau điều chỉnh VND,numeric__01/01/2015 > Điều chỉnh VND,numeric__01/01/2015 > Trước điều chỉnh VND
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,24.770.618.412.752,23.178.591.564,24.747.439.821.188,200.0,24770618412752.0,23178591564.0,24747439821188.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,442.194.291.147,45.758.427.470,396.435.863.677,210.0,442194291147.0,45758427470.0,396435863677.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,740.970.028.460,344.534.164.783,396.435.863.677,216.0,740970028460.0,344534164783.0,396435863677.0
Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,219,(298.775.737.313),(298.775.737.313),-,219.0,-298775737313.0,-298775737313.0,
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,21.040.542.195.824,13.366.960.425,21.027.175.235.399,220.0,21040542195824.0,13366960425.0,21027175235399.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,20.956.557.261.768,7.158.797.206,20.949.398.464.562,221.0,20956557261768.0,7158797206.0,20949398464562.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,34.322.135.820.487,9.393.760.911,34.312.742.059.576,222.0,34322135820487.0,9393760911.0,34312742059576.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,(13.365.578.558.719),(2.234.963.705),(13.363.343.595.014),223.0,-13365578558719.0,-2234963705.0,-13363343595014.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,83.984.934.056,6.208.163.219,77.776.770.837,227.0,83984934056.0,6208163219.0,77776770837.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,162.089.129.365,6.141.196.401,155.947.932.964,228.0,162089129365.0,6141196401.0,155947932964.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,(78.104.195.309),66.966.818,(78.171.162.127),229.0,-78104195309.0,66966818.0,-78171162127.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,37.782.417.455,15.476.602.009,22.305.815.446,230.0,37782417455.0,15476602009.0,22305815446.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,43.544.772.545,15.476.602.009,28.068.170.536,231.0,43544772545.0,15476602009.0,28068170536.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,232,(5.762.355.090),-,(5.762.355.090),232.0,-5762355090.0,,-5762355090.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,2.527.454.359.102,4.208.389.456,2.523.245.969.646,240.0,2527454359102.0,4208389456.0,2523245969646.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,2.527.454.359.102,4.208.389.456,2.523.245.969.646,242.0,2527454359102.0,4208389456.0,2523245969646.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,283.698.809.144,(10.948.000.000),294.646.809.144,250.0,283698809144.0,-10948000000.0,294646809144.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",252,78.459.872.644,28.931.789.718,49.528.082.926,252.0,78459872644.0,28931789718.0,49528082926.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,253,205.238.936.500,(39.879.789.718),245.118.726.218,253.0,205238936500.0,-39879789718.0,245118726218.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,438.946.340.080,(44.683.787.796),483.630.127.876,260.0,438946340080.0,-44683787796.0,483630127876.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,90.414.653.681,(3.490.352.997),93.905.006.678,261.0,90414653681.0,-3490352997.0,93905006678.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,348.531.686.399,(11.030.340.194),359.562.026.593,262.0,348531686399.0,-11030340194.0,359562026593.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,-,(30.163.094.605),30.163.094.605,268.0,,-30163094605.0,30163094605.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,43.772.201.441.598,79.990.552.882,43.692.210.888.716,270.0,43772201441598.0,79990552882.0,43692210888716.0
