row_label_raw,row_label_full,TÀI SẢN,Mã số,Sau điều chỉnh VND,Tại ngày 01/01/2015 Điều chỉnh VND,Trước điều chỉnh VND,numeric__Mã số,numeric__Sau điều chỉnh VND,numeric__Tại ngày 01/01/2015 Điều chỉnh VND,numeric__Trước điều chỉnh VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,19.001.583.028.846,56.811.961.318,18.944.771.067.528,100.0,19001583028846.0,56811961318.0,18944771067528.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,3.897.438.211.993,(57.999.999.747),3.955.438.211.740,110.0,3897438211993.0,-57999999747.0,3955438211740.0
Tiền,Tiền,Tiền,111,3.531.634.386.864,253,3.531.634.386.611,111.0,3531634386864.0,253.0,3531634386611.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,365.803.825.129,(58.000.000.000),423.803.825.129,112.0,365803825129.0,-58000000000.0,423803825129.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,10.669.251.577.500,58.000.000.000,10.611.251.577.500,120.0,10669251577500.0,58000000000.0,10611251577500.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,28.851.577.500,(10.582.400.000.000),10.611.251.577.500,121.0,28851577500.0,-10582400000000.0,10611251577500.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,10.640.400.000.000,10.640.400.000.000,-,123.0,10640400000000.0,10640400000000.0,
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,3.375.900.631.637,60.909.120.836,3.314.991.510.801,130.0,3375900631637.0,60909120836.0,3314991510801.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,1.077.577.420.705,(495.654.066),1.078.073.074.771,131.0,1077577420705.0,-495654066.0,1078073074771.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,1.631.934.234.802,(16.248.219.385),1.648.182.454.187,132.0,1631934234802.0,-16248219385.0,1648182454187.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,666.645.955.952,(221.123.729.704),887.769.685.656,136.0,666645955952.0,-221123729704.0,887769685656.0
Dự phòng các khoản phải thu khó đòi,Dự phòng các khoản phải thu khó đòi,Dự phòng các khoản phải thu khó đòi,137,(257.966.500),298.775.737.313,(299.033.703.813),137.0,-257966500.0,298775737313.0,-299033703813.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,986.678,986.678,-,139.0,986678.0,986678.0,
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,540.335.803.347,2.421.579.176,537.914.224.171,140.0,540335803347.0,2421579176.0,537914224171.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,540.335.803.347,2.421.579.176,537.914.224.171,141.0,540335803347.0,2421579176.0,537914224171.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,518.656.804.369,(6.518.738.947),525.175.543.316,150.0,518656804369.0,-6518738947.0,525175543316.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,13.333.690.741,753.096.755,12.580.593.986,151.0,13333690741.0,753096755.0,12580593986.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,481.282.531.584,(2.314.061.360),483.596.592.944,152.0,481282531584.0,-2314061360.0,483596592944.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,24.040.582.044,(368.669.591),24.409.251.635,153.0,24040582044.0,-368669591.0,24409251635.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,155,-,(4.589.104.751),4.589.104.751,155.0,,-4589104751.0,4589104751.0
