row_label_raw,row_label_full,col_0,Chênh lệch đánh giá lại tài sảnVND,Lợi nhuận sau thuế chưa phân phốiVND,Nguồn vốn đầu tư xây dựng cơ bảnVND,Quỹ hỗ trợ sắp xếp doanh nghiệpVND,Lợi ích cổ đông không kiểm soátVND,CộngVND,numeric__Chênh lệch đánh giá lại tài sảnVND,numeric__Lợi nhuận sau thuế chưa phân phốiVND,numeric__Nguồn vốn đầu tư xây dựng cơ bảnVND,numeric__Quỹ hỗ trợ sắp xếp doanh nghiệpVND,numeric__Lợi ích cổ đông không kiểm soátVND,numeric__CộngVND
01/01/2015,01/01/2015,01/01/2015,-,2.904.152.830.046,-,481.681.714.394,828.959.950.304,20.489.665.323.939,,2904152830046.0,,481681714394.0,828959950304.0,20489665323939.0
- Tăng vốn từ Ngân sách nhà nước cấp,- Tăng vốn từ Ngân sách nhà nước cấp,- Tăng vốn từ Ngân sách nhà nước cấp,-,-,-,-,-,252.505.652.403,,,,,,252505652403.0
- Mua lại cổ phiếu quỹ trong năm,- Mua lại cổ phiếu quỹ trong năm,- Mua lại cổ phiếu quỹ trong năm,-,-,-,-,(12.456.784),(28.000.000),,,,,-12456784.0,-28000000.0
- Lãi trong năm nay,- Lãi trong năm nay,- Lãi trong năm nay,-,1.712.230.482.283,-,3.615.764.969,40.870.203.855,1.756.716.451.107,,1712230482283.0,,3615764969.0,40870203855.0,1756716451107.0
- Bàn giao tài sản cho Công ty TNHH Mua bán nợ Việt Nam,- Bàn giao tài sản cho Công ty TNHH Mua bán nợ Việt Nam,- Bàn giao tài sản cho Công ty TNHH Mua bán nợ Việt Nam,272.400.000.000,-,-,-,-,(1.998.701.538),272400000000.0,,,,,-1998701538.0
- Tăng vốn từ quỹ đầu tư phát triển,- Tăng vốn từ quỹ đầu tư phát triển,- Tăng vốn từ quỹ đầu tư phát triển,-,-,-,-,-,-,,,,,,
- Trích lập các quỹ,- Tăng vốn từ quỹ đầu tư phát triển > - Trích lập các quỹ,- Trích lập các quỹ,-,(1.315.874.864.504),,,(1.922.563.877),(477.065.257.573),,-1315874864504.0,,,-1922563877.0,-477065257573.0
- Phân phối lợi nhuận,- Tăng vốn từ quỹ đầu tư phát triển > - Phân phối lợi nhuận,- Phân phối lợi nhuận,-,(1.169.668.270),,,(6.250.992.000),(7.420.660.270),,-1169668270.0,,,-6250992000.0,-7420660270.0
- Nộp lợi nhuận còn lại vào NSNN,- Tăng vốn từ quỹ đầu tư phát triển > - Nộp lợi nhuận còn lại vào NSNN,- Nộp lợi nhuận còn lại vào NSNN,-,(1.488.987.057.909),-,-,-,(1.488.987.057.909),,-1488987057909.0,,,,-1488987057909.0
- Đánh giá lại tài sản theo biên bản xác định giá trị doanh nghiệp,- Tăng vốn từ quỹ đầu tư phát triển > - Đánh giá lại tài sản theo biên bản xác định giá trị doanh nghiệp,- Đánh giá lại tài sản theo biên bản xác định giá trị doanh nghiệp,70.331.552.995,-,-,,-,70.331.552.995,70331552995.0,,,,,70331552995.0
- Tiền bán cổ phần Công ty Cổ phần Phục vụ Mặt đất Hà Nội,- Tăng vốn từ quỹ đầu tư phát triển > - Tiền bán cổ phần Công ty Cổ phần Phục vụ Mặt đất Hà Nội,- Tiền bán cổ phần Công ty Cổ phần Phục vụ Mặt đất Hà Nội,-,-,-,102.277.953.879,-,102.277.953.879,,,,102277953879.0,,102277953879.0
- Tăng vốn từ quỹ đầu tư phát triển,- Tăng vốn từ quỹ đầu tư phát triển,- Tăng vốn từ quỹ đầu tư phát triển,-,,-,,-,-,,,,,,
"- Điều chỉnh lợi ích trong công ty liên doanh, liên kết","- Tăng vốn từ quỹ đầu tư phát triển > - Điều chỉnh lợi ích trong công ty liên doanh, liên kết","- Điều chỉnh lợi ích trong công ty liên doanh, liên kết",-,2.462.831.780,-,,-,2.462.831.780,,2462831780.0,,,,2462831780.0
- Điều chỉnh lãi do thanh lý khoản đầu tư tại Công ty Cổ phần Thương mại Cam Ranh,- Tăng vốn từ quỹ đầu tư phát triển > - Điều chỉnh lãi do thanh lý khoản đầu tư tại Công ty Cổ phần Thương mại Cam Ranh,- Điều chỉnh lãi do thanh lý khoản đầu tư tại Công ty Cổ phần Thương mại Cam Ranh,-,3.846.108.566,-,-,-,3.846.108.566,,3846108566.0,,,,3846108566.0
- Ảnh hưởng do thay đổi tỷ lệ lợi ích khoản đầu tư vào đơn vị khác,- Tăng vốn từ quỹ đầu tư phát triển > - Ảnh hưởng do thay đổi tỷ lệ lợi ích khoản đầu tư vào đơn vị khác,- Ảnh hưởng do thay đổi tỷ lệ lợi ích khoản đầu tư vào đơn vị khác,-,(10.351.058.242),-,-,(76.958.477.418),(88.705.081.900),,-10351058242.0,,,-76958477418.0,-88705081900.0
+ Công ty Cổ phần Thương mại Hàng không Cam Ranh,- Tăng vốn từ quỹ đầu tư phát triển > + Công ty Cổ phần Thương mại Hàng không Cam Ranh,+ Công ty Cổ phần Thương mại Hàng không Cam Ranh,-,375.914.075,-,-,(11.302.425.097),(12.423.719.840),,375914075.0,,,-11302425097.0,-12423719840.0
+ Công ty Cổ phần Thương mại xăng dầu Tân Sơn Nhất,- Tăng vốn từ quỹ đầu tư phát triển > + Công ty Cổ phần Thương mại xăng dầu Tân Sơn Nhất,+ Công ty Cổ phần Thương mại xăng dầu Tân Sơn Nhất,-,(8.120.053.080),-,-,(65.656.052.322),(73.674.442.823),,-8120053080.0,,,-65656052322.0,-73674442823.0
+ Công ty Cổ phần Sài Gòn Sản bay,- Tăng vốn từ quỹ đầu tư phát triển > + Công ty Cổ phần Sài Gòn Sản bay,+ Công ty Cổ phần Sài Gòn Sản bay,-,(2.606.919.237),-,-,-,(2.606.919.237),,-2606919237.0,,,,-2606919237.0
- Điều chỉnh do các giao dịch nội bộ Tổng Công ty,- Tăng vốn từ quỹ đầu tư phát triển > - Điều chỉnh do các giao dịch nội bộ Tổng Công ty,- Điều chỉnh do các giao dịch nội bộ Tổng Công ty,-,666.752.866,-,-,(236.997.585),429.755.281,,666752866.0,,,-236997585.0,429755281.0
- Giảm khác,- Tăng vốn từ quỹ đầu tư phát triển > - Giảm khác,- Giảm khác,-,(16.200.820),-,-,-,(16.200.820),,-16200820.0,,,,-16200820.0
31/12/2015,- Tăng vốn từ quỹ đầu tư phát triển > 31/12/2015,31/12/2015,342.731.552.995,1.806.960.155.796,-,587.575.433.242,784.448.666.495,20.614.014.669.941,342731552995.0,1806960155796.0,,587575433242.0,784448666495.0,20614014669941.0
