row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữu,Thặng dưvốn cổ phần,Vốn khác củachủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giáhối đoái,Quỹ đầu tư pháttriển,numeric__Vốn góp củachủ sở hữu,numeric__Thặng dưvốn cổ phần,numeric__Vốn khác củachủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giáhối đoái,numeric__Quỹ đầu tư pháttriển
,,,VND,VND,VND,VND,VND,VND,,,,,,
01/01/2014,01/01/2014,01/01/2014,10.610.862.860.436,48.450.000,212.615.997,-,(76.802.212),442.745.347.595,10610862860436.0,48450000.0,212615997.0,,-76802212.0,442745347595.0
- Tăng vốn trong năm trước,- Tăng vốn trong năm trước,- Tăng vốn trong năm trước,5.199.532.349.233,-,-,-,-,(795.010.977.922),5199532349233.0,,,,,-795010977922.0
- Tăng vốn XDCB từ NSNN,- Tăng vốn XDCB từ NSNN,- Tăng vốn XDCB từ NSNN,-,-,-,-,-,-,,,,,,
- Lãi trong năm trước,- Lãi trong năm trước,- Lãi trong năm trước,-,-,-,-,-,-,,,,,,
- Điều chỉnh phần vốn góp vào đơn vị khác,- Lãi trong năm trước > - Điều chỉnh phần vốn góp vào đơn vị khác,- Điều chỉnh phần vốn góp vào đơn vị khác,464.034.980.885,-,-,-,-,-,464034980885.0,,,,,
- Chênh lệch tiền thu bán cổ phần của Công ty Cốphần DVHK Sản bay Tân Sơn Nhất,- Chênh lệch tiền thu bán cổ phần của Công ty Cốphần DVHK Sản bay Tân Sơn Nhất,- Chênh lệch tiền thu bán cổ phần của Công ty Cốphần DVHK Sản bay Tân Sơn Nhất,-,-,-,-,-,-,,,,,,
- Truy thu thuế TNDN phải nộp,- Truy thu thuế TNDN phải nộp,- Truy thu thuế TNDN phải nộp,-,-,-,-,-,-,,,,,,
- Trích lập các quỹ,- Truy thu thuế TNDN phải nộp > - Trích lập các quỹ,- Trích lập các quỹ,-,-,-,-,-,378.771.918.609,,,,,,378771918609.0
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,-,-,-,-,,,,,,
- Nộp lợi nhuận còn lại vào NSNN,- Phân phối lợi nhuận > - Nộp lợi nhuận còn lại vào NSNN,- Nộp lợi nhuận còn lại vào NSNN,-,-,-,-,(979.767.965),-,,,,,-979767965.0,
- Chênh lệch tỷ giá,- Phân phối lợi nhuận > - Chênh lệch tỷ giá,- Chênh lệch tỷ giá,-,-,-,-,-,(22.681.432.933),,,,,,-22681432933.0
- Chuyển Quỹ đầu tư phát triển và lợi nhuận về TổngCông ty,- Chuyển Quỹ đầu tư phát triển và lợi nhuận về TổngCông ty,- Chuyển Quỹ đầu tư phát triển và lợi nhuận về TổngCông ty,-,-,-,-,-,-,,,,,,
- Tăng quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợinhuyện và quỹ thu từ các công ty con,- Tăng quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợinhuyện và quỹ thu từ các công ty con,- Tăng quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợinhuyện và quỹ thu từ các công ty con,-,-,-,-,-,-,,,,,,
"- Điều chỉnh lợi ích trong công ty liên doanh, liên kết","- Điều chỉnh lợi ích trong công ty liên doanh, liên kết","- Điều chỉnh lợi ích trong công ty liên doanh, liên kết",-,-,-,-,-,-,,,,,,
- Giám phần lợi ích của cổ đông thiểu số,- Giám phần lợi ích của cổ đông thiểu số,- Giám phần lợi ích của cổ đông thiểu số,-,-,-,-,-,-,,,,,,
- Ảnh hưởng do thay đổi tỷ lệ lợi ích khoản đầu tvavão đơn vị khác,- Giám phần lợi ích của cổ đông thiểu số > - Ảnh hưởng do thay đổi tỷ lệ lợi ích khoản đầu tvavão đơn vị khác,- Ảnh hưởng do thay đổi tỷ lệ lợi ích khoản đầu tvavão đơn vị khác,-,-,-,-,-,(2.588.712.528),,,,,,-2588712528.0
+ Công ty Cổ phần Vận tải Hàng khôngmiền Nam,- Giám phần lợi ích của cổ đông thiểu số > + Công ty Cổ phần Vận tải Hàng khôngmiền Nam,+ Công ty Cổ phần Vận tải Hàng khôngmiền Nam,-,-,-,-,-,(2.588.712.528),,,,,,-2588712528.0
+ Công ty Cổ phần Thương mại Xăng dầu Tân SơnNhất,+ Công ty Cổ phần Thương mại Xăng dầu Tân SơnNhất,+ Công ty Cổ phần Thương mại Xăng dầu Tân SơnNhất,-,-,-,-,-,-,,,,,,
- Loại trừ lãi chưa thực hiện từ các giao dịch nội bộTổng Công ty,- Loại trừ lãi chưa thực hiện từ các giao dịch nội bộTổng Công ty,- Loại trừ lãi chưa thực hiện từ các giao dịch nội bộTổng Công ty,-,-,-,-,-,-,,,,,,
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,-,,,,,,
31/12/2014,- Giảm khác > 31/12/2014,31/12/2014,16.274.430.190.554,48.450.000,212.615.997,-,(1.056.570.177),1.236.142.821,16274430190554.0,48450000.0,212615997.0,,-1056570177.0,1236142821.0
