row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Sau điều chỉnhVND,Tại ngày 01/01/2015Điều chỉnhVND,Trước điều chỉnhVND,numeric__Mã số,numeric__Sau điều chỉnhVND,numeric__Tại ngày 01/01/2015Điều chỉnhVND,numeric__Trước điều chỉnhVND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,23.281.898.790.159,251.532.851.838,23.030.365.938.321,300.0,23281898790159.0,251532851838.0,23030365938321.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,7.539.997.750.334,(3.201.986.051.038),10.741.983.801.372,310.0,7539997750334.0,-3201986051038.0,10741983801372.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,1.730.453.102.794,(17.777.445.329),1.748.230.548.123,311.0,1730453102794.0,-17777445329.0,1748230548123.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,32.676.812.137,(2.649.841.163),35.326.653.300,312.0,32676812137.0,-2649841163.0,35326653300.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,878.337.690.050,280.698.810.569,597.638.879.481,313.0,878337690050.0,280698810569.0,597638879481.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,1.276.677.186.040,15.608.780.696,1.261.068.405.344,314.0,1276677186040.0,15608780696.0,1261068405344.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,2.488.480.623.450,(3.502.620.802.629),5.991.101.426.079,315.0,2488480623450.0,-3502620802629.0,5991101426079.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,11.630.465.284,11.630.465.284,-,318.0,11630465284.0,11630465284.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,238.765.550.258,5.552.022.276,233.213.527.982,319.0,238765550258.0,5552022276.0,233213527982.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,249.576.290.862,-,249.576.290.862,320.0,249576290862.0,,249576290862.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,633.400.029.459,7.571.959.258,625.828.070.201,322.0,633400029459.0,7571959258.0,625828070201.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,15.741.901.039.825,3.453.518.902.876,12.288.382.136.949,330.0,15741901039825.0,3453518902876.0,12288382136949.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,10.831.388.003,(526.637.665),11.358.025.668,331.0,10831388003.0,-526637665.0,11358025668.0
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,336,-,(8.957.540.555),8.957.540.555,336.0,,-8957540555.0,8957540555.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,28.003.081.096,28.003.081.096,-,337.0,28003081096.0,28003081096.0,
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,12.268.066.570.726,-,12.268.066.570.726,338.0,12268066570726.0,,12268066570726.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,3.435.000.000.000,3.435.000.000.000,-,342.0,3435000000000.0,3435000000000.0,
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,20.490.302.651.439,(171.542.298.956),20.661.844.950.395,400.0,20490302651439.0,-171542298956.0,20661844950395.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,20.489.665.323.939,(171.542.298.956),20.661.207.622.895,410.0,20489665323939.0,-171542298956.0,20661207622895.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,16.274.430.190.554,5.142.268.833.218,11.132.161.357.336,411.0,16274430190554.0,5142268833218.0,11132161357336.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,48.450.000,-,48.450.000,412.0,48450000.0,,48450000.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,212.615.997,-,212.615.997,414.0,212615997.0,,212615997.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,-,1.056.570.177,(1.056.570.177),416.0,,1056570177.0,-1056570177.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,(1.056.570.177),(865.162.775.126),864.106.204.949,417.0,-1056570177.0,-865162775126.0,864106204949.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,1.236.142.821,721.083.312,515.059.509,418.0,1236142821.0,721083312.0,515059509.0
Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,419,481.681.714.394,135.879.945.726,345.801.768.668,419.0,481681714394.0,135879945726.0,345801768668.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,2.904.152.830.046,(239.895.575.460),3.144.048.405.506,421.0,2904152830046.0,-239895575460.0,3144048405506.0
Nguồn vốn đầu tư XDCB,Nguồn vốn đầu tư XDCB,Nguồn vốn đầu tư XDCB,422,-,(4.347.257.855.296),4.347.257.855.296,422.0,,-4347257855296.0,4347257855296.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,828.959.950.304,847.474.493,828.112.475.811,429.0,828959950304.0,847474493.0,828112475811.0
Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,430,637.327.500,-,637.327.500,430.0,637327500.0,,637327500.0
Nguồn kinh phí,Nguồn kinh phí,Nguồn kinh phí,431,637.327.500,-,637.327.500,431.0,637327500.0,,637327500.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,43.772.201.441.598,79.990.552.882,43.692.210.888.716,440.0,43772201441598.0,79990552882.0,43692210888716.0
