row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốc VND,31/12/2015 > Dự phòng VND,31/12/2015 > Giá trị hợp lý (*) VND,01/01/2015 > Giá gốc VND,01/01/2015 > Dự phòng VND,01/01/2015 > Giá trị hợp lý (*) VND,numeric__31/12/2015 > Giá gốc VND,numeric__31/12/2015 > Dự phòng VND,numeric__31/12/2015 > Giá trị hợp lý (*) VND,numeric__01/01/2015 > Giá gốc VND,numeric__01/01/2015 > Dự phòng VND,numeric__01/01/2015 > Giá trị hợp lý (*) VND
Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,236.368.936.500,-,306.167.290.500,205.238.936.500,-,205.238.936.500,236368936500.0,,306167290500.0,205238936500.0,,205238936500.0
Công ty Cổ phần Dịch vụ hàng hóa Sài Gòn,Công ty Cổ phần Dịch vụ hàng hóa Sài Gòn,Công ty Cổ phần Dịch vụ hàng hóa Sài Gòn,75.000.000.000,-,75.000.000.000,75.000.000.000,-,75.000.000.000,75000000000.0,,75000000000.0,75000000000.0,,75000000000.0
Công ty Cổ phần Đầu tư khai thác nhà ga Quốc tế Đà Nẵng,Công ty Cổ phần Đầu tư khai thác nhà ga Quốc tế Đà Nẵng,Công ty Cổ phần Đầu tư khai thác nhà ga Quốc tế Đà Nẵng,30.000.000.000,-,30.000.000.000,-,-,-,30000000000.0,,30000000000.0,,,
Công ty Cổ phần Địa ốc Thảo Điền,Công ty Cổ phần Địa ốc Thảo Điền,Công ty Cổ phần Địa ốc Thảo Điền,44.732.290.000,-,44.732.290.000,44.732.290.000,-,44.732.290.000,44732290000.0,,44732290000.0,44732290000.0,,44732290000.0
Công ty Cổ phần Dịch vụ hàng không sân bay Đà Nẵng (*),Công ty Cổ phần Dịch vụ hàng không sân bay Đà Nẵng (*),Công ty Cổ phần Dịch vụ hàng không sân bay Đà Nẵng (*),25.193.235.000,-,41.198.349.000,25.193.235.000,-,25.193.235.000,25193235000.0,,41198349000.0,25193235000.0,,25193235000.0
Công ty TNHH Dịch vụ hàng hóa Tân Sơn Nhất,Công ty TNHH Dịch vụ hàng hóa Tân Sơn Nhất,Công ty TNHH Dịch vụ hàng hóa Tân Sơn Nhất,15.464.785.500,-,15.464.785.500,15.464.785.500,-,15.464.785.500,15464785500.0,,15464785500.0,15464785500.0,,15464785500.0
Công ty Cổ phần Suất ăn hàng không Nội Bài (*),Công ty Cổ phần Suất ăn hàng không Nội Bài (*),Công ty Cổ phần Suất ăn hàng không Nội Bài (*),11.810.450.000,-,65.603.690.000,11.810.450.000,-,11.810.450.000,11810450000.0,,65603690000.0,11810450000.0,,11810450000.0
Công ty Cổ phần Thành Ngọc,Công ty Cổ phần Thành Ngọc,Công ty Cổ phần Thành Ngọc,11.542.176.000,-,11.542.176.000,11.542.176.000,-,11.542.176.000,11542176000.0,,11542176000.0,11542176000.0,,11542176000.0
Công ty Cổ phần Dịch vụ hàng không sân bay Nội Bài,Công ty Cổ phần Dịch vụ hàng không sân bay Nội Bài,Công ty Cổ phần Dịch vụ hàng không sân bay Nội Bài,8.696.000.000,-,8.696.000.000,8.696.000.000,-,8.696.000.000,8696000000.0,,8696000000.0,8696000000.0,,8696000000.0
Công ty Cổ phần Đầu Tư TCP,Công ty Cổ phần Đầu Tư TCP,Công ty Cổ phần Đầu Tư TCP,5.940.000.000,-,5.940.000.000,-,-,-,5940000000.0,,5940000000.0,,,
Công ty Cổ phần Xây dựng công nghiệp,Công ty Cổ phần Xây dựng công nghiệp,Công ty Cổ phần Xây dựng công nghiệp,4.930.000.000,-,4.930.000.000,4.930.000.000,-,4.930.000.000,4930000000.0,,4930000000.0,4930000000.0,,4930000000.0
Công ty Cổ phần Đầu tư phát triển hạ tầng Phú Quốc,Công ty Cổ phần Đầu tư phát triển hạ tầng Phú Quốc,Công ty Cổ phần Đầu tư phát triển hạ tầng Phú Quốc,2.800.000.000,-,2.800.000.000,2.800.000.000,-,2.800.000.000,2800000000.0,,2800000000.0,2800000000.0,,2800000000.0
Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn,Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn,Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn,190.000.000,-,190.000.000,-,-,-,190000000.0,,190000000.0,,,
Công ty Cổ phần Thương mại Sabeco Trung tâm,Công ty Cổ phần Thương mại Sabeco Trung tâm,Công ty Cổ phần Thương mại Sabeco Trung tâm,70.000.000,-,70.000.000,70.000.000,-,70.000.000,70000000.0,,70000000.0,70000000.0,,70000000.0
Công ty Cổ phần Công trình Hàng Không,Công ty Cổ phần Công trình Hàng Không,Công ty Cổ phần Công trình Hàng Không,-,-,-,5.000.000.000,-,5.000.000.000,,,,5000000000.0,,5000000000.0
