row_label_raw,row_label_full,Năm 2015Chỉ tiêu,Dịch vụ hàng không vàphi hàng khôngVND,Bán hàngVND,Hoạt động phòngkhách,Hoạt độngchế biến,Tổng cộng toànTổng Công tyVND,numeric__Dịch vụ hàng không vàphi hàng khôngVND,numeric__Bán hàngVND,numeric__Hoạt động phòngkhách,numeric__Hoạt độngchế biến,numeric__Tổng cộng toànTổng Công tyVND
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụra bên ngoài,KẾT QUẢ KINH DOANH > Doanh thu thuần từ bán hàng và cung cấp dịch vụra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụra bên ngoài,10.214.681.034.764,2.600.798.634.330,251.431.234.932,105.848.444.504,13.172.759.348.530,10214681034764.0,2600798634330.0,251431234932.0,105848444504.0,13172759348530.0
Chi phí bộ phậnGiá vốn hàng bán,KẾT QUẢ KINH DOANH > Chi phí bộ phậnGiá vốn hàng bán,Chi phí bộ phậnGiá vốn hàng bán,7.752.102.444.671,1.808.506.918.959,37.898.001.272,57.514.096.252,9.656.021.461.154,7752102444671.0,1808506918959.0,37898001272.0,57514096252.0,9656021461154.0
Kết quả kinh doanh theo bộ phậnCác chi phí không phân bổ theo bộ phận,KẾT QUẢ KINH DOANH > Kết quả kinh doanh theo bộ phậnCác chi phí không phân bổ theo bộ phận,Kết quả kinh doanh theo bộ phậnCác chi phí không phân bổ theo bộ phận,2.462.578.590.093,792.291.715.371,213.533.233.660,48.334.348.252,3.516.737.887.376,2462578590093.0,792291715371.0,213533233660.0,48334348252.0,3516737887376.0
Chi phí bán hàng,KẾT QUẢ KINH DOANH > Chi phí bán hàng,Chi phí bán hàng,,,,,428.367.727.111,,,,,428367727111.0
Chi phí quản lý doanh nghiệp,KẾT QUẢ KINH DOANH > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,1.203.303.426.997,,,,,1203303426997.0
Doanh thu hoạt động tài chính,KẾT QUẢ KINH DOANH > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,959.726.497.099,,,,,959726497099.0
Chi phí tài chính,KẾT QUẢ KINH DOANH > Chi phí tài chính,Chi phí tài chính,,,,,810.631.345.912,,,,,810631345912.0
Thu nhập khác,KẾT QUẢ KINH DOANH > Thu nhập khác,Thu nhập khác,,,,,260.432.716.203,,,,,260432716203.0
Chi phí khác,KẾT QUẢ KINH DOANH > Chi phí khác,Chi phí khác,,,,,37.653.173.646,,,,,37653173646.0
"Lãi/lỗ trong công ty liên doanh, liên kết","KẾT QUẢ KINH DOANH > Lãi/lỗ trong công ty liên doanh, liên kết","Lãi/lỗ trong công ty liên doanh, liên kết",,,,,20.484.436.995,,,,,20484436995.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,KẾT QUẢ KINH DOANH > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,562.268.029.818,,,,,562268029818.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,KẾT QUẢ KINH DOANH > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,(37.942.851.949),,,,,-37942851949.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,KẾT QUẢ KINH DOANH > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,1.753.100.686.138,,,,,1753100686138.0
Tài sản không phân bổ theo bộ phận,KẾT QUẢ KINH DOANH > Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,,,44.851.705.733.557,,,,,44851705733557.0
Nợ phải trả không phân bổ theo bộ phận,KẾT QUẢ KINH DOANH > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,24.237.053.736.116,,,,,24237053736116.0
