row_label_raw,row_label_full,Giá trị còn lại tài sản góp vốn,Năm 2015VND > 21.441.117.027,Năm 2014VND > -,numeric__Năm 2015VND > 21.441.117.027,numeric__Năm 2014VND > -
Khấu hao các tài sản cố định không cần dùng chờ thanh lý,Khấu hao các tài sản cố định không cần dùng chờ thanh lý,Khấu hao các tài sản cố định không cần dùng chờ thanh lý,6.474.847.889,-,6474847889.0,
"Giá trị còn lại và chi phí thanh lý, nhượng bán TSCĐ","Giá trị còn lại và chi phí thanh lý, nhượng bán TSCĐ","Giá trị còn lại và chi phí thanh lý, nhượng bán TSCĐ",-,1.287.488.974,,1287488974.0
"Thanh lý công cụ, dụng cụ","Thanh lý công cụ, dụng cụ","Thanh lý công cụ, dụng cụ",67.757.177,-,67757177.0,
Chi phí phạt và lãi chậm nộp,Chi phí phạt và lãi chậm nộp,Chi phí phạt và lãi chậm nộp,294.031.580,18.470.900.754,294031580.0,18470900754.0
Chi phí thuế (đóng mã số thuế TCT Cảng hàng không miền Bắc),Chi phí thuế (đóng mã số thuế TCT Cảng hàng không miền Bắc),Chi phí thuế (đóng mã số thuế TCT Cảng hàng không miền Bắc),-,16.914.077.941,,16914077941.0
Chi phí hồ sơ thầu,Chi phí hồ sơ thầu,Chi phí hồ sơ thầu,132.363.637,282.517.638,132363637.0,282517638.0
Kết chuyển chi phí các công trình,Kết chuyển chi phí các công trình,Kết chuyển chi phí các công trình,-,3.393.254.198,,3393254198.0
Phí bảo lãnh khoản vay nhập khẩu Máy móc thiết bị nhà,Phí bảo lãnh khoản vay nhập khẩu Máy móc thiết bị nhà,Phí bảo lãnh khoản vay nhập khẩu Máy móc thiết bị nhà,-,26.863.675.916,,26863675916.0
Chi phí bồi thường,Chi phí bồi thường,Chi phí bồi thường,292.089.653,-,292089653.0,
Chi phí khác,Chi phí khác,Chi phí khác,8.950.966.683,10.572.823.550,8950966683.0,10572823550.0
,,,37.653.173.646,77.784.738.971,37653173646.0,77784738971.0
