row_label_raw,row_label_full,31/12/2015,Dưới 1 năm VND > 31/12/2015,Từ 1-5 năm VND > 31/12/2015,Tổng VND > 31/12/2015,numeric__Dưới 1 năm VND > 31/12/2015,numeric__Từ 1-5 năm VND > 31/12/2015,numeric__Tổng VND > 31/12/2015
Vay và nợ,Vay và nợ,Vay và nợ,307.816.114.542,13.118.821.693.739,13.426.637.808.281,307816114542.0,13118821693739.0,13426637808281.0
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.419.019.714.938,11.941.547.164,1.430.961.262.102,1419019714938.0,11941547164.0,1430961262102.0
Dự phòng phải trả,Dự phòng phải trả,Dự phòng phải trả,3.597.873.184,2.924.548.197.347,2.928.146.070.531,3597873184.0,2924548197347.0,2928146070531.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,2.242.472.446.530,-,2.242.472.446.530,2242472446530.0,,2242472446530.0
,,,3.972.906.149.194,16.055.311.438.250,20.028.217.587.444,3972906149194.0,16055311438250.0,20028217587444.0
01/01/2015,01/01/2015,01/01/2015,01/01/2015,01/01/2015,01/01/2015,,,
Vay và nợ ngắn hạn,01/01/2015 > Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,249.576.290.862,12.268.066.570.726,12.517.642.861.588,249576290862.0,12268066570726.0,12517642861588.0
Phải trả người bán và phải trả khác,01/01/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.887.584.497.535,10.831.388.003,1.898.415.885.538,1887584497535.0,10831388003.0,1898415885538.0
Dự phòng phải trả,01/01/2015 > Dự phòng phải trả,Dự phòng phải trả,-,3.435.000.000.000,3.435.000.000.000,,3435000000000.0,3435000000000.0
Chi phí phải trả,01/01/2015 > Chi phí phải trả,Chi phí phải trả,2.488.480.623.450,-,2.488.480.623.450,2488480623450.0,,2488480623450.0
,,,4.625.641.411.847,15.713.897.958.729,20.339.539.370.576,4625641411847.0,15713897958729.0,20339539370576.0
