row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2015VND,01/01/2015VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015VND,numeric__01/01/2015VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,24.237.053.736.116,23.281.898.790.159,300.0,,24237053736116.0,23281898790159.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,8.151.139.856.837,7.539.997.750.334,310.0,,8151139856837.0,7539997750334.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,16,1.261.450.022.044,1.730.453.102.794,311.0,16.0,1261450022044.0,1730453102794.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,17.457.223.687,32.676.812.137,312.0,,17457223687.0,32676812137.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,17,695.563.563.456,878.337.690.050,313.0,17.0,695563563456.0,878337690050.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,1.473.695.042.061,1.276.677.186.040,314.0,,1473695042061.0,1276677186040.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,18,2.242.472.446.530,2.488.480.623.450,315.0,18.0,2242472446530.0,2488480623450.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,19.823.869.779,11.630.465.284,318.0,,19823869779.0,11630465284.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,20,1.567.013.890.045,238.765.550.258,319.0,20.0,1567013890045.0,238765550258.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,19,307.816.114.542,249.576.290.862,320.0,19.0,307816114542.0,249576290862.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,,3.597.873.184,-,321.0,,3597873184.0,
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,562.249.811.509,633.400.029.459,322.0,,562249811509.0,633400029459.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,16.085.913.879.279,15.741.901.039.825,330.0,,16085913879279.0,15741901039825.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,16,11.941.547.164,10.831.388.003,331.0,16.0,11941547164.0,10831388003.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,20,30.602.441.029,28.003.081.096,337.0,20.0,30602441029.0,28003081096.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,19,13.118.821.693.739,12.268.066.570.726,338.0,19.0,13118821693739.0,12268066570726.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,21,2.924.548.197.347,3.435.000.000.000,342.0,21.0,2924548197347.0,3435000000000.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,,20.614.651.997.441,20.490.302.651.439,400.0,,20614651997441.0,20490302651439.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,22,20.614.014.669.941,20.489.665.323.939,410.0,22.0,20614014669941.0,20489665323939.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,17.093.269.312.227,16.274.430.190.554,411.0,,17093269312227.0,16274430190554.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,-,48.450.000,412.0,,,48450000.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,-,212.615.997,414.0,,,212615997.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,,(15.543.216),-,415.0,,-15543216.0,
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,,342.731.552.995,-,416.0,,342731552995.0,
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,(954.907.598),(1.056.570.177),417.0,,-954907598.0,-1056570177.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,-,1.236.142.821,418.0,,,1236142821.0
Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,587.575.433.242,481.681.714.394,419.0,,587575433242.0,481681714394.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,1.806.960.155.796,2.904.152.830.046,421.0,,1806960155796.0,2904152830046.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,1.747.275.330.620,1.748.276.488.632,,,1747275330620.0,1748276488632.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,59.684.825.176,1.155.876.341.414,,,59684825176.0,1155876341414.0
Nguồn vốn đầu tư XDCB,Nguồn vốn đầu tư XDCB,Nguồn vốn đầu tư XDCB,422,,-,-,422.0,,,
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,784.448.666.495,828.959.950.304,429.0,,784448666495.0,828959950304.0
Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,430,,637.327.500,637.327.500,430.0,,637327500.0,637327500.0
Nguồn kinh phí,Nguồn kinh phí,Nguồn kinh phí,431,,637.327.500,637.327.500,431.0,,637327500.0,637327500.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,44.851.705.733.557,43.772.201.441.598,440.0,,44851705733557.0,43772201441598.0
