row_label_raw,row_label_full,Trích trước chi phí sữa chữa lớn Cảng hàng không Miền Bắc và Cảng hàng không Miền Nam (*),31/12/2015 > Số tiền VND > 350.000.000.000,31/12/2015 > Thuế suất % > 22%,31/12/2015 > Số thuế hoãn lại VND > 77.000.000.000,numeric__31/12/2015 > Số tiền VND > 350.000.000.000,numeric__31/12/2015 > Thuế suất % > 22%,numeric__31/12/2015 > Số thuế hoãn lại VND > 77.000.000.000
Chi phí dự phòng phải thu vượt tỷ lệ (*),Chi phí dự phòng phải thu vượt tỷ lệ (*),Chi phí dự phòng phải thu vượt tỷ lệ (*),12.962.348.309,22%,2.851.716.628,12962348309.0,0.22,2851716628.0
Khấu hao tài sản khác khung theo Kiểm toán Nhà nước 2012 (*),Khấu hao tài sản khác khung theo Kiểm toán Nhà nước 2012 (*),Khấu hao tài sản khác khung theo Kiểm toán Nhà nước 2012 (*),103.945.172.397,22%,22.867.937.927,103945172397.0,0.22,22867937927.0
Chi phí thuê đất trích trước đến 31/12/2014,Chi phí thuê đất trích trước đến 31/12/2014,Chi phí thuê đất trích trước đến 31/12/2014,767.634.000.000,22%,168.879.480.000,767634000000.0,0.22,168879480000.0
Khấu hao tài sản tạm tăng đến 31/12/2013 (*),Khấu hao tài sản tạm tăng đến 31/12/2013 (*),Khấu hao tài sản tạm tăng đến 31/12/2013 (*),156.506.250.536,22%,34.431.375.118,156506250536.0,0.22,34431375118.0
Khấu hao tài sản tạm tăng năm 2014,Khấu hao tài sản tạm tăng năm 2014,Khấu hao tài sản tạm tăng năm 2014,110.261.799.941,22%,24.257.595.987,110261799941.0,0.22,24257595987.0
Khấu hao tài sản tạm tăng từ 01/01/2015 đến 31/12/2015,Khấu hao tài sản tạm tăng từ 01/01/2015 đến 31/12/2015,Khấu hao tài sản tạm tăng từ 01/01/2015 đến 31/12/2015,218.388.807.880,20%,43.677.761.576,218388807880.0,0.2,43677761576.0
Chi phí trích trước sữa chữa lớn tài sản cố định,Chi phí trích trước sữa chữa lớn tài sản cố định,Chi phí trích trước sữa chữa lớn tài sản cố định,55.025.878.082,20%,11.005.175.616,55025878082.0,0.2,11005175616.0
Chi phí khấu hao bất động sản đầu tư nắm giữ chờ tăng giá,Chi phí khấu hao bất động sản đầu tư nắm giữ chờ tăng giá,Chi phí khấu hao bất động sản đầu tư nắm giữ chờ tăng giá,4.520.308.115,20%,904.061.623,4520308115.0,0.2,904061623.0
Các khoản chênh lệch tạm thời khác,Các khoản chênh lệch tạm thời khác,Các khoản chênh lệch tạm thời khác,2.498.109.100,20%,499.621.820,2498109100.0,0.2,499621820.0
,,,1.781.742.674.360,,386.374.726.295,1781742674360.0,,386374726295.0
