row_label_raw,row_label_full,Chỉ tiêu,Mã số,Sau điều chỉnh VND,Năm 2014 Điều chỉnh VND,Trước điều chỉnh VND,numeric__Mã số,numeric__Sau điều chỉnh VND,numeric__Năm 2014 Điều chỉnh VND,numeric__Trước điều chỉnh VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,10.583.813.150.090,-,10.583.813.150.090,1.0,10583813150090.0,,10583813150090.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,29.102.147.966,-,29.102.147.966,2.0,29102147966.0,,29102147966.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,10.554.711.002.124,-,10.554.711.002.124,10.0,10554711002124.0,,10554711002124.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,7.489.025.377.090,(56.544.689.473),7.545.570.066.563,11.0,7489025377090.0,-56544689473.0,7545570066563.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,3.065.685.625.034,56.544.689.473,3.009.140.935.561,20.0,3065685625034.0,56544689473.0,3009140935561.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,2.504.498.699.978,23.921.348.322,2.480.577.351.656,21.0,2504498699978.0,23921348322.0,2480577351656.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,501.363.338.417,(3.437.159.692),504.800.498.109,22.0,501363338417.0,-3437159692.0,504800498109.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,66.409.859.888,-,66.409.859.888,23.0,66409859888.0,,66409859888.0
"Lãi/lỗ trong công ty liên doanh, liên kết","Lãi/lỗ trong công ty liên doanh, liên kết","Lãi/lỗ trong công ty liên doanh, liên kết",24,1.918.034.741,-,1.918.034.741,24.0,1918034741.0,,1918034741.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,416.368.207.172,(1.405.697.099),417.773.904.271,25.0,416368207172.0,-1405697099.0,417773904271.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,1.296.312.510.699,2.188.797.976,1.294.123.712.723,26.0,1296312510699.0,2188797976.0,1294123712723.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,3.358.058.303.465,83.120.096.610,3.274.938.206.855,30.0,3358058303465.0,83120096610.0,3274938206855.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,127.234.496.924,(9.124.367.983),136.358.864.907,31.0,127234496924.0,-9124367983.0,136358864907.0
Chi phí khác,Chi phí khác,Chi phí khác,32,77.784.738.971,(25.613.762.903),103.398.501.874,32.0,77784738971.0,-25613762903.0,103398501874.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,49.449.757.953,16.489.394.920,32.960.363.033,40.0,49449757953.0,16489394920.0,32960363033.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,3.407.508.061.418,99.609.491.530,3.307.898.569.888,50.0,3407508061418.0,99609491530.0,3307898569888.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,809.919.893.666,(34.053.226.893),843.973.120.559,51.0,809919893666.0,-34053226893.0,843973120559.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,(36.230.059.233),11.030.340.194,(47.260.399.427),52.0,-36230059233.0,11030340194.0,-47260399427.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,2.633.818.226.985,122.632.378.229,2.511.185.848.756,60.0,2633818226985.0,122632378229.0,2511185848756.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,61,1.644.623.539,-,1.644.623.539,61.0,1644623539.0,,1644623539.0
Lợi nhuận sau thuế của Tổng Công ty,Lợi nhuận sau thuế của Tổng Công ty,Lợi nhuận sau thuế của Tổng Công ty,62,2.632.173.603.446,122.632.378.229,2.509.541.225.217,62.0,2632173603446.0,122632378229.0,2509541225217.0
